recipient_iso3,total_killings,mean_killings,total_pred,mean_pred,mean_residual,mean_p_any,colonial_tie,n_years
IRQ,285,8.90625,128.32819651414576,4.010256141067055,4.895993858932946,0.5006142529210976,1,32
ISR,181,5.65625,20.528702333744423,0.6415219479295132,5.014728052070486,0.12975331295831805,1,32
MEX,158,4.9375,30.78397426849333,0.9619991958904166,3.975500804109583,0.33375918122958725,1,32
SYR,155,5.166666666666667,84.67362346525661,2.822454115508554,2.344212551158113,0.3588051391375509,1,30
PHL,155,4.84375,57.12811352058658,1.7852535475183307,3.0584964524816693,0.5288268865529534,1,32
PAK,104,3.25,96.84643754601531,3.0264511733129784,0.2235488266870217,0.6138371322804804,1,32
COL,96,3.0,90.52174793503926,2.828804622969977,0.17119537703002322,0.5423455869587185,1,32
IND,89,2.78125,100.41200280868813,3.137875087771504,-0.35662508777150426,0.8244336623560359,1,32
SOM,86,2.6875,92.57094352873816,2.8928419852730674,-0.20534198527306743,0.4282684478118169,1,32
AFG,77,3.2083333333333335,34.0492011429342,1.418716714288925,1.7896166190444083,0.43647281135890864,0,24
BRA,60,1.875,33.2827396804409,1.040085615013778,0.834914384986222,0.37847252890479105,1,32
DZA,59,1.84375,44.1895548183858,1.3809235880745563,0.46282641192544366,0.3395353349648622,1,32
HND,39,1.21875,4.216938347859486,0.13177932337060894,1.0869706766293912,0.07556369918822152,1,32
BGD,38,1.1875,23.46098969356692,0.7331559279239662,0.4543440720760337,0.33603553320977414,1,32
UKR,38,1.1875,26.47153114422929,0.8272353482571653,0.36026465174283473,0.24244322798864268,0,32
YEM,30,1.1538461538461537,48.7889248039842,1.8764971078455461,-0.7226509539993924,0.29758231357671294,1,26
GTM,27,0.84375,8.627499360309788,0.26960935500968086,0.5741406449903191,0.12836104669872597,1,32
LKA,25,0.78125,52.83408691461436,1.6510652160816988,-0.8698152160816988,0.3147548682826011,1,32
NGA,25,0.78125,125.31711808476271,3.9161599401488347,-3.1349099401488347,0.531750298658953,1,32
RWA,24,0.75,17.13506049325352,0.5354706404141725,0.21452935958582747,0.18319697666906026,1,32
HTI,22,0.6875,5.644164086168894,0.17638012769277794,0.5111198723072221,0.09529606085478012,1,32
TUR,20,0.625,39.27198346318581,1.2272494832245566,-0.6022494832245567,0.3431488076996605,0,32
TJK,19,0.59375,4.233202012564579,0.1322875628926431,0.46146243710735685,0.08371700586671245,0,32
SLE,18,0.5625,6.913139951500293,0.21603562348438415,0.34646437651561585,0.10355483824419245,1,32
NPL,17,0.53125,9.79999608579393,0.3062498776810603,0.22500012231893968,0.15998452893597184,0,32
BIH,17,0.53125,5.765035765806861,0.1801573676814644,0.3510926323185356,0.06672171502840828,0,32
THA,16,0.5,11.842993498153746,0.37009354681730455,0.12990645318269545,0.22458804031375484,0,32
COD,16,0.5,54.24374259428247,1.6951169560713273,-1.1951169560713273,0.4876216334167259,1,32
USA,16,0.5,34.78792386773556,1.0871226208667362,-0.5871226208667363,0.37433399930751965,1,32
LBY,15,0.5555555555555556,18.254316524962253,0.6760857972208242,-0.12053024166526868,0.13263406536192898,1,27
RUS,15,0.8823529411764706,31.018471372363877,1.824615963080228,-0.9422630219037574,0.3613237074941812,0,17
IDN,14,0.4375,47.215628152400335,1.4754883797625105,-1.0379883797625105,0.5280715946373012,1,32
PER,14,0.4375,17.57603101642059,0.5492509692631434,-0.11175096926314337,0.22623517515495212,1,32
