Source,Target,Year,Weight,Type,Layer
AUS,FJI,2017,1.4,Directed,Arms
AUS,FJI,2020,7.0,Directed,Arms
AUS,FJI,2024,15.96,Directed,Arms
AUS,GBR,2008,7.68,Directed,Arms
AUS,GHA,2006,0.22,Directed,Arms
AUS,IDN,1997,14.1,Directed,Arms
AUS,IDN,2003,8.0,Directed,Arms
AUS,IDN,2013,18.48,Directed,Arms
AUS,IDN,2014,19.44,Directed,Arms
AUS,IDN,2015,36.96,Directed,Arms
AUS,IDN,2016,22.4,Directed,Arms
AUS,IDN,2017,33.6,Directed,Arms
AUS,IDN,2023,2.1,Directed,Arms
AUS,IND,2002,16.6,Directed,Arms
AUS,IND,2006,8.3,Directed,Arms
AUS,IND,2007,16.6,Directed,Arms
AUS,IND,2008,16.6,Directed,Arms
AUS,IND,2009,16.6,Directed,Arms
AUS,IND,2010,16.6,Directed,Arms
AUS,IND,2011,16.6,Directed,Arms
AUS,IRQ,2004,0.22,Directed,Arms
AUS,JAM,2015,1.92,Directed,Arms
AUS,JAM,2016,1.92,Directed,Arms
AUS,JAM,2021,1.92,Directed,Arms
AUS,JOR,2006,0.66,Directed,Arms
AUS,JPN,2014,1.28,Directed,Arms
AUS,JPN,2018,1.28,Directed,Arms
AUS,KWT,1993,30.0,Directed,Arms
AUS,KWT,1997,0.36,Directed,Arms
AUS,KWT,1998,3.6,Directed,Arms
AUS,LKA,2014,5.2,Directed,Arms
AUS,LKA,2024,1.14,Directed,Arms
AUS,LSO,2004,0.24,Directed,Arms
AUS,MNG,2022,2.6,Directed,Arms
AUS,MYS,2001,0.69,Directed,Arms
AUS,NLD,2006,8.0,Directed,Arms
AUS,NLD,2007,1.6,Directed,Arms
AUS,NLD,2008,6.08,Directed,Arms
AUS,NLD,2009,11.84,Directed,Arms
AUS,NLD,2016,1.28,Directed,Arms
AUS,NLD,2017,5.12,Directed,Arms
AUS,NLD,2021,1.92,Directed,Arms
AUS,NZL,2009,56.0,Directed,Arms
AUS,NZL,2010,66.0,Directed,Arms
AUS,NZL,2014,4.4,Directed,Arms
AUS,NZL,2015,3.6,Directed,Arms
AUS,NZL,2018,0.7,Directed,Arms
AUS,NZL,2023,13.76,Directed,Arms
AUS,OMN,2016,40.0,Directed,Arms
AUS,PHL,2015,6.4,Directed,Arms
AUS,PHL,2016,9.6,Directed,Arms
AUS,PNG,2014,3.2,Directed,Arms
AUS,PNG,2018,7.0,Directed,Arms
AUS,PNG,2021,14.0,Directed,Arms
AUS,PNG,2023,7.0,Directed,Arms
AUS,SGP,2010,30.0,Directed,Arms
AUS,SGP,2011,30.0,Directed,Arms
AUS,SGP,2012,15.0,Directed,Arms
AUS,SGP,2013,6.0,Directed,Arms
AUS,SLB,2019,7.0,Directed,Arms
AUS,SLB,2021,7.0,Directed,Arms
AUS,SWE,2003,5.6,Directed,Arms
AUS,TON,2015,5.4,Directed,Arms
AUS,TON,2019,7.0,Directed,Arms
AUS,TON,2020,7.0,Directed,Arms
AUS,TTO,2010,24.0,Directed,Arms
AUS,TTO,2021,32.0,Directed,Arms
AUS,UKR,2022,16.12,Directed,Arms
AUS,UKR,2023,7.0,Directed,Arms
AUS,UKR,2024,8.0,Directed,Arms
AUS,USA,1994,18.0,Directed,Arms
AUS,USA,1995,24.0,Directed,Arms
AUS,USA,2001,42.0,Directed,Arms
AUS,USA,2002,30.0,Directed,Arms
AUS,USA,2003,30.0,Directed,Arms
AUS,USA,2004,1.68,Directed,Arms
AUS,USA,2011,96.0,Directed,Arms
AUS,USA,2012,30.0,Directed,Arms
AUS,USA,2013,30.0,Directed,Arms
AUS,USA,2014,60.0,Directed,Arms
AUS,USA,2015,30.0,Directed,Arms
AUS,USA,2016,60.0,Directed,Arms
AUS,USA,2017,60.0,Directed,Arms
AUS,USA,2018,30.0,Directed,Arms
AUS,USA,2019,30.0,Directed,Arms
AUS,USA,2020,30.0,Directed,Arms
AUS,USA,2023,30.0,Directed,Arms
AUS,USA,2024,30.0,Directed,Arms
AUS,VUT,2021,7.0,Directed,Arms
AUS,YEM,2005,49.0,Directed,Arms
AUT,ARE,2006,1.6,Directed,Arms
AUT,ARE,2007,2.4,Directed,Arms
AUT,ARE,2008,3.0,Directed,Arms
AUT,ARE,2009,3.0,Directed,Arms
AUT,ARE,2010,2.0,Directed,Arms
AUT,ARG,2007,2.8,Directed,Arms
AUT,ARG,2016,1.05,Directed,Arms
AUT,ARG,2024,0.6,Directed,Arms
AUT,AUS,2017,0.6,Directed,Arms
AUT,AUS,2018,0.6,Directed,Arms
AUT,AUS,2019,1.2,Directed,Arms
AUT,BEL,1998,0.6,Directed,Arms
AUT,BEL,1999,10.5,Directed,Arms
AUT,BEL,2000,5.1,Directed,Arms
AUT,BEL,2002,1.8,Directed,Arms
AUT,BFA,2016,0.5,Directed,Arms
AUT,BGD,2019,0.6,Directed,Arms
AUT,BOL,2010,1.35,Directed,Arms
AUT,BRA,2001,12.65,Directed,Arms
AUT,BWA,2000,14.6,Directed,Arms
AUT,CZE,2009,5.1,Directed,Arms
AUT,CZE,2010,9.0,Directed,Arms
AUT,CZE,2011,9.6,Directed,Arms
AUT,CZE,2012,6.9,Directed,Arms
AUT,CZE,2013,1.5,Directed,Arms
AUT,CZE,2019,1.2,Directed,Arms
AUT,CZE,2020,4.8,Directed,Arms
AUT,DEU,2022,0.6,Directed,Arms
AUT,EGY,2002,78.56,Directed,Arms
AUT,ESP,2009,12.0,Directed,Arms
AUT,ESP,2010,12.0,Directed,Arms
AUT,ESP,2011,12.0,Directed,Arms
AUT,ESP,2012,12.0,Directed,Arms
AUT,ESP,2013,12.0,Directed,Arms
AUT,FRA,2006,54.0,Directed,Arms
AUT,FRA,2007,54.0,Directed,Arms
AUT,FRA,2012,0.2,Directed,Arms
AUT,FRA,2018,0.2,Directed,Arms
AUT,FRA,2020,0.8,Directed,Arms
AUT,GAB,2004,0.3,Directed,Arms
AUT,GBR,2008,1.2,Directed,Arms
AUT,GBR,2024,0.2,Directed,Arms
AUT,GHA,2011,1.0,Directed,Arms
AUT,GHA,2012,1.5,Directed,Arms
AUT,GRC,1992,20.4,Directed,Arms
AUT,GRC,1993,9.6,Directed,Arms
AUT,GRC,1994,17.1,Directed,Arms
AUT,IDN,2017,1.35,Directed,Arms
AUT,IDN,2024,14.95,Directed,Arms
AUT,JAM,2013,0.7,Directed,Arms
AUT,JAM,2018,0.6,Directed,Arms
AUT,JOR,2011,1.2,Directed,Arms
AUT,JOR,2012,1.2,Directed,Arms
AUT,KOR,2012,0.6,Directed,Arms
AUT,KWT,1997,0.3,Directed,Arms
AUT,KWT,1998,10.5,Directed,Arms
AUT,KWT,1999,10.2,Directed,Arms
AUT,KWT,2013,12.6,Directed,Arms
AUT,KWT,2014,11.4,Directed,Arms
AUT,LBY,2011,0.8,Directed,Arms
AUT,LVA,2017,19.5,Directed,Arms
AUT,LVA,2018,4.0,Directed,Arms
AUT,MAR,2023,0.75,Directed,Arms
AUT,MAR,2024,0.45,Directed,Arms
AUT,MMR,2018,1.0,Directed,Arms
AUT,MMR,2019,0.3,Directed,Arms
AUT,MMR,2020,0.6,Directed,Arms
AUT,MMR,2021,0.9,Directed,Arms
AUT,MNE,2015,1.28,Directed,Arms
AUT,MYS,2018,0.4,Directed,Arms
AUT,NER,2008,1.0,Directed,Arms
AUT,NGA,2017,0.75,Directed,Arms
AUT,NGA,2023,2.4,Directed,Arms
AUT,POL,2013,0.8,Directed,Arms
AUT,PRT,2007,2.4,Directed,Arms
AUT,PRT,2008,9.3,Directed,Arms
AUT,PRT,2009,18.0,Directed,Arms
AUT,PRT,2010,20.5,Directed,Arms
AUT,PRT,2011,20.5,Directed,Arms
AUT,PRT,2014,2.4,Directed,Arms
AUT,PRT,2016,11.8,Directed,Arms
AUT,SAU,2010,14.8,Directed,Arms
AUT,SAU,2015,3.5,Directed,Arms
AUT,SAU,2016,3.5,Directed,Arms
AUT,SVN,1999,1.8,Directed,Arms
AUT,SVN,2000,1.8,Directed,Arms
AUT,SVN,2001,2.4,Directed,Arms
AUT,SVN,2002,2.4,Directed,Arms
AUT,SVN,2003,2.4,Directed,Arms
AUT,SVN,2004,2.4,Directed,Arms
AUT,SVN,2005,3.0,Directed,Arms
AUT,SVN,2006,3.0,Directed,Arms
AUT,SVN,2007,2.4,Directed,Arms
AUT,THA,1996,18.0,Directed,Arms
AUT,THA,1998,18.0,Directed,Arms
AUT,THA,2009,2.1,Directed,Arms
AUT,THA,2010,3.1,Directed,Arms
AUT,THA,2011,1.5,Directed,Arms
AUT,THA,2020,3.3,Directed,Arms
AUT,THA,2021,2.0,Directed,Arms
AUT,THA,2022,1.5,Directed,Arms
AUT,TKM,2011,3.2,Directed,Arms
AUT,TUN,1997,2.6,Directed,Arms
AUT,TUN,2018,0.4,Directed,Arms
AUT,UGA,2009,0.56,Directed,Arms
AUT,UGA,2010,1.12,Directed,Arms
AUT,UGA,2018,0.35,Directed,Arms
AUT,UGA,2022,1.0,Directed,Arms
AUT,USA,2000,1.8,Directed,Arms
AUT,USA,2001,1.8,Directed,Arms
AUT,USA,2006,3.3,Directed,Arms
AUT,USA,2007,3.0,Directed,Arms
AUT,USA,2009,3.0,Directed,Arms
AUT,USA,2010,1.0,Directed,Arms
AUT,USA,2011,1.0,Directed,Arms
AUT,VEN,2009,0.5,Directed,Arms
AUT,VEN,2010,0.5,Directed,Arms
AUT,VEN,2011,1.0,Directed,Arms
AUT,VEN,2012,1.0,Directed,Arms
AUT,VEN,2014,1.15,Directed,Arms
AUT,VEN,2015,4.55,Directed,Arms
BEL,AUT,2015,0.98,Directed,Arms
BEL,BEN,2002,6.8,Directed,Arms
BEL,BEN,2007,2.76,Directed,Arms
BEL,BEN,2009,0.96,Directed,Arms
BEL,BGR,2005,132.0,Directed,Arms
BEL,BGR,2008,80.0,Directed,Arms
BEL,BGR,2009,102.0,Directed,Arms
BEL,BHR,2008,16.08,Directed,Arms
BEL,BHR,2015,2.4,Directed,Arms
BEL,BHR,2016,3.0,Directed,Arms
BEL,BRA,1997,23.52,Directed,Arms
BEL,BRA,1998,22.68,Directed,Arms
BEL,BRA,1999,48.88,Directed,Arms
BEL,BRA,2000,34.22,Directed,Arms
BEL,BRA,2001,6.2,Directed,Arms
BEL,CAN,2021,54.0,Directed,Arms
BEL,CAN,2022,36.0,Directed,Arms
BEL,CHL,1995,139.73000000000002,Directed,Arms
BEL,CHL,1996,31.28,Directed,Arms
BEL,CHL,2006,50.04,Directed,Arms
BEL,CHL,2009,2.52,Directed,Arms
BEL,COD,2002,11.2,Directed,Arms
BEL,DEU,2021,9.75,Directed,Arms
BEL,EST,2010,0.9,Directed,Arms
BEL,FRA,1997,66.0,Directed,Arms
BEL,FRA,2009,2.6,Directed,Arms
BEL,FRA,2018,5.2,Directed,Arms
BEL,GBR,2013,20.0,Directed,Arms
BEL,IDN,2013,13.2,Directed,Arms
BEL,IDN,2014,0.5,Directed,Arms
BEL,IDN,2015,5.0,Directed,Arms
BEL,IDN,2016,4.0,Directed,Arms
BEL,IDN,2017,17.07,Directed,Arms
BEL,IDN,2018,15.85,Directed,Arms
BEL,IDN,2019,2.4,Directed,Arms
BEL,IDN,2020,3.0,Directed,Arms
BEL,IDN,2021,3.0,Directed,Arms
BEL,IDN,2024,14.4,Directed,Arms
BEL,JOR,2000,10.0,Directed,Arms
BEL,JOR,2001,16.6,Directed,Arms
BEL,JOR,2005,28.4,Directed,Arms
BEL,JOR,2007,10.3,Directed,Arms
BEL,JOR,2008,95.7,Directed,Arms
BEL,JOR,2009,91.2,Directed,Arms
BEL,JOR,2010,0.6,Directed,Arms
BEL,JOR,2011,102.6,Directed,Arms
BEL,KWT,1998,5.6,Directed,Arms
