iso3,year,gdp_per_capita,gdp_per_capita_log,population,population_log,v2x_polyarchy,armed_conflict,conflict_intensity
ABW,1992,13892.6051427736,9.539111973437375,69005.0,11.14193424472214,,0,0
ABW,1993,14700.9598081521,9.5956680637069,73685.0,11.207554529647362,,0,0
ABW,1994,16055.2877874337,9.683793531460047,77595.0,11.259258271105725,,0,0
ABW,1995,16548.7173868987,9.714063878520939,79805.0,11.287341438116659,,0,0
ABW,1996,16620.9545555513,9.718419500908857,83021.0,11.326848866824777,,0,0
ABW,1997,17750.0095644198,9.78414133374397,86301.0,11.3655964644899,,0,0
ABW,1998,18828.0870594071,9.84310502644316,88451.0,11.39020400534652,,0,0
ABW,1999,19216.1972354472,9.863508808393192,89659.0,11.403768864401638,,0,0
ABW,2000,20681.0230269625,9.936971796787699,90588.0,11.414077032927626,,0,0
ABW,2001,20740.1325828172,9.939825874377222,91439.0,11.423427362275909,,0,0
ABW,2002,21307.2482505267,9.966802587262789,92074.0,11.43034788054291,,0,0
ABW,2003,21949.4859960868,9.996499001194364,93128.0,11.441730169928077,,0,0
ABW,2004,23700.6319899197,10.073256993009021,95138.0,11.463083748113013,,0,0
ABW,2005,24171.8371325422,10.092943479602644,97635.0,11.488991314674598,,0,0
ABW,2006,24845.65848362,10.120438307352744,99405.0,11.506957693190436,,0,0
ABW,2007,26736.3089444046,10.19377780613962,100150.0,11.514424341093964,,0,0
ABW,2008,28171.9094008501,10.246080639931197,100917.0,11.5220536757971,,0,0
ABW,2009,25134.7712303589,10.13200747444845,101604.0,11.528838183430278,,0,0
ABW,2010,24093.1401510626,10.08968243792605,101838.0,11.531138594389587,,0,0
ABW,2011,25712.3843015186,10.154728034253223,102591.0,11.538505488572998,,0,0
ABW,2012,25119.6655449838,10.131406306201454,104110.0,11.553203311468799,,0,0
ABW,2013,25813.5714408438,10.15865565744605,105675.0,11.56812362543499,,0,0
ABW,2014,26129.8390617693,10.170833199359421,106807.0,11.578778746431539,,0,0
ABW,2015,27458.2201537506,10.220420861261761,107906.0,11.58901575674377,,0,0
ABW,2016,27441.5502144601,10.219813574940124,108727.0,11.596595432329993,,0,0
ABW,2017,28440.0416881491,10.25555334974413,108735.0,11.596669008403088,,0,0
ABW,2018,30082.1584226798,10.311687531562564,108908.0,11.598258768114503,,0,0
ABW,2019,30645.8906024548,10.330253857414815,109203.0,11.600963814443052,,0,0
ABW,2020,22759.8071750722,10.032751416107375,108587.0,11.595306973976017,,0,0
ABW,2021,26749.3296093118,10.194264690675974,107700.0,11.58710486314448,,0,0
ABW,2022,30975.9989121779,10.34096795495808,107310.0,11.583477120921174,,0,0
ABW,2023,35718.7531191634,10.483431127302877,107359.0,11.583933637706092,,0,0
ABW,2024,39498.5941293797,10.584020358594541,107995.0,11.589840208738353,,0,0
AFE,1992,732.910915212266,6.597024160001781,329082707.0,19.611819666194464,,0,0
AFE,1993,709.323533711482,6.564311746441624,338324002.0,19.639514580096144,,0,0
AFE,1994,700.77212550809,6.5521827635858205,347441809.0,19.66610775283167,,0,0
AFE,1995,766.522931015445,6.641864614388116,356580375.0,19.692070228227756,,0,0
AFE,1996,746.787334695357,6.615780452090649,366138524.0,19.718522300634138,,0,0
AFE,1997,767.39941150858,6.6430074109485755,375646235.0,19.74415839410177,,0,0
AFE,1998,697.079415310028,6.546899343021831,385505757.0,19.77006668470829,,0,0
AFE,1999,670.42421254121,6.50791066507477,395750933.0,19.796295614271575,,0,0
AFE,2000,706.727260967009,6.560644821973343,406156661.0,19.822249507671454,,0,0
AFE,2001,625.82781544115,6.439075278059647,416807868.0,19.848135925384568,,0,0
AFE,2002,630.512327648462,6.446532707392202,427820358.0,19.874213941138105,,0,0
AFE,2003,815.432296267735,6.703718397483704,439173286.0,19.90040462208386,,0,0
AFE,2004,989.015463629244,6.896709967121553,450928044.0,19.926818337066027,,0,0
AFE,2005,1126.2973233912,7.026690826589139,463076637.0,19.953403121031325,,0,0
AFE,2006,1235.26660811771,7.119042102782376,475606210.0,19.980100779886573,,0,0
AFE,2007,1381.5525968929,7.2309632159463035,488580707.0,20.00701522972096,,0,0
AFE,2008,1447.54575437552,7.277624818188017,502070763.0,20.034251629873168,,0,0
AFE,2009,1408.75346659428,7.250460526109986,516003448.0,20.061624005594055,,0,0
AFE,2010,1628.90524793139,7.395663441122376,530308387.0,20.088969257558382,,0,0
AFE,2011,1761.98926096159,7.474198711677092,544737983.0,20.11581547188529,,0,0
AFE,2012,1732.03802145335,7.457054041221703,559609961.0,20.142750600811617,,0,0
AFE,2013,1706.02274412621,7.441920059806959,575202699.0,20.17023305664105,,0,0
AFE,2014,1690.16679245944,7.432582496810192,590968990.0,20.19727410360458,,0,0
AFE,2015,1498.8752400759,7.312470265870313,607123269.0,20.224242407483437,,0,0
AFE,2016,1334.47050032928,7.196289863189445,623369401.0,20.250649840037667,,0,0
AFE,2017,1528.10422421284,7.331783176963676,640058741.0,20.27707051291871,,0,0
AFE,2018,1552.07372194919,7.347347200870937,657801085.0,20.30441314115539,,0,0
AFE,2019,1507.08559963484,7.317932998363618,675950189.0,20.331629946381128,,0,0
AFE,2020,1351.59166910879,7.209038191095769,694446100.0,20.35862510735566,,0,0
AFE,2021,1562.41617477738,7.3539887320289665,713090928.0,20.385119498999224,,0,0
AFE,2022,1679.32762166466,7.426148767086216,731821393.0,20.411047043519197,,0,0
AFE,2023,1571.44918918981,7.359753523032638,750491370.0,20.43623870997101,,0,0
AFE,2024,1615.39635562849,7.387335626987631,769280888.0,20.460966724756464,,0,0
AFG,1992,,,13278974.0,16.401692439991784,0.096,1,2
AFG,1993,,,14943172.0,16.519765031063496,0.094,1,2
AFG,1994,,,16250794.0,16.603652327084795,0.094,1,2
AFG,1995,,,17065836.0,16.652589128282113,0.094,1,2
