predictor,coef_full,p_full,sig_full,coef_no_armed,p_no_armed,sig_no_armed,sign_flipped,sig_changed
arms_tiv_total_log_lag1,-0.07864854030479211,0.003832425805905676,**,-0.07827588577410477,0.003918717988668191,**,False,False
oda_total_log_lag1,0.18188012091273661,2.6206148413562236e-09,***,0.1801744038036195,3.2000690377538526e-09,***,False,False
econ_neocol_score_total_lag1,-0.027872504723567455,0.1669259045855782,,-0.02851451696541311,0.15530744560274232,,False,False
colonial_tie_flag,0.4876321796679579,3.046093838434062e-05,***,0.47656075438940254,4.193144667462669e-05,***,False,False
gdp_per_capita_log,0.21502922908316285,8.159958337783707e-06,***,0.21584306890150634,6.939245011490391e-06,***,False,False
population_log,0.5521389388771275,2.2853693484237045e-41,***,0.5396700134900764,9.083723046133136e-41,***,False,False
armed_conflict,-0.4750667979531328,0.04657135580113852,*,,,,True,True
conflict_intensity,1.5424516830481547,2.9342153280016175e-19,***,1.237942301909973,5.833029969650314e-58,***,False,False
