predictor,coef_full,p_full,sig_full,coef_no_armed,p_no_armed,sig_no_armed,sign_flipped,sig_changed
arms_tiv_total_log_lag1,-0.032560965290025376,0.11597934574399124,,-0.038160304843754565,0.06873450479853377,.,False,True
oda_total_log_lag1,0.05755246650808943,0.014062922050135516,*,0.070578627178543,0.002822567308600288,**,False,True
econ_neocol_score_total_lag1,-0.03183749148248803,0.05070708705764356,.,-0.03191717191024141,0.05245371781627224,.,False,False
colonial_tie_flag,0.30766708819035904,0.0021748396832808083,**,0.2794897155397883,0.0059059640317161936,**,False,False
gdp_per_capita_log,0.24556465213109177,2.7470556119235757e-11,***,0.2744510981683657,1.3142087730330858e-13,***,False,False
population_log,0.07089810010426134,0.038387209364921675,*,0.029063043083495152,0.3931586506855914,,False,True
armed_conflict,-0.9651446350471999,1.2519985149588328e-09,***,,,,True,True
conflict_intensity,1.2454130553635692,8.362556883184547e-38,***,0.7486144832166979,2.06005442794472e-48,***,False,False
