variable,n,missing_pct,zero_share_pct,positive_n,positive_share_pct,mean,median,std,skew,p95,p99,max,gini_nonnegative,top_1pct_share,top_5pct_share
arms_tiv_total,6358,0.0,43.23686693928909,3609,56.76313306071091,131.94577068260458,3.0,376.32787460955416,5.598434834672892,757.1169999999998,1884.0024000000037,5271.93,0.8590750163594312,0.21321102623005836,0.5521841340038834
arms_tiv_total_log,6358,0.0,43.23686693928909,3609,56.76313306071091,2.2095296928576595,1.3862943611198906,2.421500625514321,0.6275303557922856,6.630837711280067,7.541678831201424,8.570341464266932,0.5954140323371011,0.03599828126472953,0.16239515763831966
arms_tiv_total_log_lag1,6145,3.350110097514942,43.238405207485755,3488,56.76159479251424,2.2083698694146796,1.3862943611198906,2.4216422711997234,0.6285143629158977,6.628627984064288,7.5554580113182315,8.570341464266932,0.5956866634814055,0.0360786477087857,0.16280922746422763
arms_tiv_in_strength_lag1,6150,3.271469015413652,44.113821138211385,3437,55.886178861788615,5.371507803175722,1.311028243967617,8.510594414086532,2.5073203014205947,23.558189443806608,37.17104106035295,108.99199842279728,0.718104499975712,0.08473863938284355,0.2966250303300472
arms_tiv_pagerank_lag1,6150,3.271469015413652,0.0,6150,100.0,0.005074662565642529,0.0041385351214986,0.0026058103879605466,6.749906346902038,0.009511311414600215,0.01559737839029603,0.0662938509964664,0.18474578502780514,0.04150195741455721,0.1341926889001849
