column,dtype,missing_n,missing_pct
recipient_iso3,object,0,0.0
year,int64,0,0.0
arms_tiv_total,float64,0,0.0
oda_total,float64,0,0.0
econ_neocol_score_total,float64,0,0.0
colonial_tie_flag,int64,0,0.0
journalist_killings,int64,0,0.0
gdp_per_capita,float64,404,6.354199433784209
gdp_per_capita_log,float64,404,6.354199433784209
population,float64,268,4.215162000629129
population_log,float64,268,4.215162000629129
armed_conflict,float64,235,3.6961308587606165
conflict_intensity,float64,235,3.6961308587606165
arms_tiv_in_strength_lag1,float64,208,3.271469015413652
arms_tiv_out_strength_lag1,float64,208,3.271469015413652
arms_tiv_dependency_balance_lag1,float64,208,3.271469015413652
arms_tiv_in_concentration_lag1,float64,208,3.271469015413652
arms_tiv_pagerank_lag1,float64,208,3.271469015413652
bilateral_oda_in_strength_lag1,float64,208,3.271469015413652
bilateral_oda_out_strength_lag1,float64,208,3.271469015413652
bilateral_oda_dependency_balance_lag1,float64,208,3.271469015413652
bilateral_oda_in_concentration_lag1,float64,208,3.271469015413652
bilateral_oda_pagerank_lag1,float64,208,3.271469015413652
colonial_tie_in_strength_lag1,float64,208,3.271469015413652
colonial_tie_out_strength_lag1,float64,208,3.271469015413652
colonial_tie_dependency_balance_lag1,float64,208,3.271469015413652
colonial_tie_in_concentration_lag1,float64,208,3.271469015413652
colonial_tie_pagerank_lag1,float64,208,3.271469015413652
econ_neocol_score_in_strength_lag1,float64,208,3.271469015413652
econ_neocol_score_out_strength_lag1,float64,208,3.271469015413652
econ_neocol_score_dependency_balance_lag1,float64,208,3.271469015413652
econ_neocol_score_in_concentration_lag1,float64,208,3.271469015413652
econ_neocol_score_pagerank_lag1,float64,208,3.271469015413652
arms_tiv_total_log,float64,0,0.0
oda_total_log,float64,0,0.0
arms_tiv_total_log_lag1,float64,213,3.350110097514942
oda_total_log_lag1,float64,213,3.350110097514942
econ_neocol_score_total_lag1,float64,213,3.350110097514942
