term,coef,se_nonrobust,p_nonrobust,sig_nonrobust,se_clustered,p_clustered,sig_clustered,sig_changed
const,-14.055620739327564,0.7891394519430047,5.7724996006303916e-71,***,1.8039694461441396,6.6220405745278815e-15,***,False
arms_tiv_total_log_lag1,-0.07864854030479211,0.02719863784695885,0.003832425805905676,**,0.04813134182481395,0.10225044094580533,,True
oda_total_log_lag1,0.18188012091273661,0.030548816317451714,2.6206148413562236e-09,***,0.06256772341672698,0.0036499246514826193,**,True
econ_neocol_score_total_lag1,-0.027872504723567455,0.020166061229053896,0.1669259045855782,,0.03599923597732473,0.43878138432769165,,False
colonial_tie_flag,0.4876321796679579,0.1169383770395665,3.046093838434062e-05,***,0.2604687232129556,0.06118815907437041,.,True
gdp_per_capita_log,0.21502922908316285,0.04820263394167138,8.159958337783707e-06,***,0.0982015967826277,0.028548075830537686,*,True
population_log,0.5521389388771275,0.04098413358307417,2.2853693484237045e-41,***,0.08627082997828428,1.5531059068167065e-10,***,False
armed_conflict,-0.4750667979531328,0.23870570972395908,0.04657135580113852,*,0.46293347172461663,0.3047927716983859,,True
conflict_intensity,1.5424516830481547,0.1719345729627825,2.9342153280016175e-19,***,0.3121746885010928,7.772731815422642e-07,***,False
