term,coef,std_err,z,p_value,significance
const,-2.8399313800769534,0.6424336796967846,-4.420582964170469,9.843498361623228e-06,***
arms_tiv_total_log_lag1,-0.032560965290025376,0.020714718175846965,-1.571875852406766,0.11597934574399124,
oda_total_log_lag1,0.05755246650808943,0.023436734423576907,2.455652117224691,0.014062922050135516,*
econ_neocol_score_total_lag1,-0.03183749148248803,0.016293910020332435,-1.953950368128918,0.05070708705764356,.
colonial_tie_flag,0.30766708819035904,0.10037240535002086,3.0652557056638785,0.0021748396832808083,**
gdp_per_capita_log,0.24556465213109177,0.03687417438058218,6.659529501504048,2.7470556119235757e-11,***
population_log,0.07089810010426134,0.034238776867513435,2.0706960525663853,0.038387209364921675,*
armed_conflict,-0.9651446350471999,0.1589123875411463,-6.0734386411336265,1.2519985149588328e-09,***
conflict_intensity,1.2454130553635692,0.09690290280979469,12.852174901386816,8.362556883184547e-38,***
alpha,0.4631639094895172,0.03653245430847236,12.67814928552729,7.815547114849827e-37,***
