term,coef,std_err,z,p_value,significance
const,-14.055620739327564,1.8039694461441396,-7.791496008632787,6.6220405745278815e-15,***
arms_tiv_total_log_lag1,-0.07864854030479211,0.04813134182481395,-1.634040052135948,0.10225044094580533,
oda_total_log_lag1,0.18188012091273661,0.06256772341672698,2.9069320566666557,0.0036499246514826193,**
econ_neocol_score_total_lag1,-0.027872504723567455,0.03599923597732473,-0.7742526741713031,0.43878138432769165,
colonial_tie_flag,0.4876321796679579,0.2604687232129556,1.8721333358296406,0.06118815907437041,.
gdp_per_capita_log,0.21502922908316285,0.0982015967826277,2.1896714119540923,0.028548075830537686,*
population_log,0.5521389388771275,0.08627082997828428,6.400065225014174,1.5531059068167065e-10,***
armed_conflict,-0.4750667979531328,0.46293347172461663,-1.0262096542367407,0.3047927716983859,
conflict_intensity,1.5424516830481547,0.3121746885010928,4.94098893941158,7.772731815422642e-07,***
