term,logit_coef,logit_p,logit_sig,nb_coef,nb_p,nb_sig
arms_x_colonial,0.10204204116541449,0.22672333283617618,,0.010291696702800878,0.8469444294647925,
econ_x_colonial,-0.05798777137683403,0.46502199309733216,,0.07774093405429938,0.11749440424098205,
oda_x_colonial,0.19565533310349603,0.04592757269128582,*,0.16691069880007994,0.0033221811293135833,**
