term,coef,std_err,z,p_value,significance
const,-2.8399313800769534,1.3508588917469218,-2.102315347241319,0.035525661066451296,*
arms_tiv_total_log_lag1,-0.032560965290025376,0.038477032305468284,-0.8462441965774443,0.39741653112826836,
oda_total_log_lag1,0.05755246650808943,0.04660533054849619,1.2348902117152019,0.21687136684375274,
econ_neocol_score_total_lag1,-0.03183749148248803,0.030389164720704687,-1.0476593145976327,0.29479559884745343,
colonial_tie_flag,0.30766708819035904,0.14205959981627525,2.1657606285549367,0.030329483376653952,*
gdp_per_capita_log,0.24556465213109177,0.08275167035988057,2.9674887656424365,0.0030024325454930854,**
population_log,0.07089810010426134,0.0612166018701374,1.1581515134515619,0.24680221107319655,
armed_conflict,-0.9651446350471999,0.3720912605140141,-2.5938384946583546,0.009491105969977272,**
conflict_intensity,1.2454130553635692,0.2331807865485716,5.340976303397747,9.244734155505681e-08,***
alpha,0.4631639094895172,0.06676273895816012,6.93746117545866,3.992089837292526e-12,***
