Source,Target,Year,Weight,Type,Layer
AUS,IDN,2003,8.0,Directed,Arms
AUS,SWE,2003,5.6,Directed,Arms
AUS,USA,2003,30.0,Directed,Arms
AUT,SVN,2003,2.4,Directed,Arms
BEL,SAU,2003,14.7,Directed,Arms
BGR,ARE,2003,18.0,Directed,Arms
BGR,CIV,2003,19.9,Directed,Arms
BGR,USA,2003,6.6,Directed,Arms
BLR,CIV,2003,15.02,Directed,Arms
BLR,NPL,2003,5.8,Directed,Arms
BLR,SDN,2003,13.26,Directed,Arms
BLR,SYR,2003,24.0,Directed,Arms
CAN,AUS,2003,18.09,Directed,Arms
CAN,BRA,2003,6.0,Directed,Arms
CAN,COL,2003,5.0,Directed,Arms
CAN,ESP,2003,3.0,Directed,Arms
CAN,GRC,2003,7.5,Directed,Arms
CAN,IDN,2003,2.1,Directed,Arms
CAN,JOR,2003,1.5,Directed,Arms
CAN,KOR,2003,7.0,Directed,Arms
CAN,NZL,2003,61.5,Directed,Arms
CAN,POL,2003,3.0,Directed,Arms
CAN,SAU,2003,5.67,Directed,Arms
CAN,USA,2003,180.5,Directed,Arms
CHE,BGR,2003,1.85,Directed,Arms
CHE,BWA,2003,4.8,Directed,Arms
CHE,CHN,2003,65.0,Directed,Arms
CHE,ESP,2003,2.7,Directed,Arms
CHE,USA,2003,131.0,Directed,Arms
CHN,BOL,2003,5.0,Directed,Arms
CHN,EGY,2003,87.5,Directed,Arms
CHN,IRN,2003,79.4,Directed,Arms
CHN,KWT,2003,23.200000000000003,Directed,Arms
CHN,LKA,2003,8.75,Directed,Arms
CHN,MMR,2003,56.5,Directed,Arms
CHN,MRT,2003,6.5,Directed,Arms
CHN,OMN,2003,17.5,Directed,Arms
CHN,PAK,2003,266.5,Directed,Arms
CHN,SDN,2003,97.0,Directed,Arms
CHN,TUR,2003,7.0,Directed,Arms
CHN,TZA,2003,46.0,Directed,Arms
CZE,DZA,2003,36.0,Directed,Arms
CZE,GEO,2003,0.8,Directed,Arms
CZE,IDN,2003,1.44,Directed,Arms
