donor,recipient,year,aid_amount,recipient_iso3
African Capacity Building Foundation (ACBF),Angola,2008,1504958,AGO
African Capacity Building Foundation (ACBF),Benin,2007,1650301,BEN
African Capacity Building Foundation (ACBF),Botswana,2006,2019974,BWA
African Capacity Building Foundation (ACBF),Burkina Faso,2005,2065134,BFA
African Capacity Building Foundation (ACBF),Burkina Faso,2006,2376440,BFA
African Capacity Building Foundation (ACBF),Burkina Faso,2008,522555,BFA
African Capacity Building Foundation (ACBF),Burundi,2006,3658630,BDI
African Capacity Building Foundation (ACBF),Burundi,2008,4702995,BDI
African Capacity Building Foundation (ACBF),Cameroon,2001,2779851,CMR
African Capacity Building Foundation (ACBF),Cameroon,2003,2085653,CMR
African Capacity Building Foundation (ACBF),Cameroon,2004,4996491,CMR
African Capacity Building Foundation (ACBF),Cameroon,2008,1463154,CMR
African Capacity Building Foundation (ACBF),Cape Verde,2005,1579219,CPV
African Capacity Building Foundation (ACBF),Central African Republic,2006,1663508,CAF
African Capacity Building Foundation (ACBF),Chad,2003,1280632,TCD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2001,2599794,COD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2003,2036541,COD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2004,2248421,COD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2006,2376440,COD
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2007,2750501,COD
African Capacity Building Foundation (ACBF),"Congo, Republic of",2003,2075410,COG
African Capacity Building Foundation (ACBF),"Congo, Republic of",2004,1873684,COG
African Capacity Building Foundation (ACBF),"Congo, Republic of",2006,2376440,COG
African Capacity Building Foundation (ACBF),Cote d`Ivoire,2000,2735819,CIV
African Capacity Building Foundation (ACBF),Cote d`Ivoire,2006,2019974,CIV
African Capacity Building Foundation (ACBF),Djibouti,2003,1366253,DJI
African Capacity Building Foundation (ACBF),Djibouti,2005,819980,DJI
African Capacity Building Foundation (ACBF),Djibouti,2007,770140,DJI
African Capacity Building Foundation (ACBF),Eritrea,2005,1093306,ERI
African Capacity Building Foundation (ACBF),Ethiopia,2001,2440107,ETH
African Capacity Building Foundation (ACBF),Ethiopia,2005,971828,ETH
African Capacity Building Foundation (ACBF),Ethiopia,2008,1463154,ETH
African Capacity Building Foundation (ACBF),Gabon,2000,2219304,GAB
African Capacity Building Foundation (ACBF),Gabon,2003,1786048,GAB
African Capacity Building Foundation (ACBF),Gabon,2006,3861715,GAB
African Capacity Building Foundation (ACBF),Gambia,2008,1045110,GMB
African Capacity Building Foundation (ACBF),Ghana,2003,2051462,GHA
African Capacity Building Foundation (ACBF),Ghana,2007,1650301,GHA
African Capacity Building Foundation (ACBF),Ghana,2008,2299242,GHA
African Capacity Building Foundation (ACBF),Guinea,1999,2262236,GIN
African Capacity Building Foundation (ACBF),Guinea-Bissau,2000,2027688,GNB
African Capacity Building Foundation (ACBF),Guinea-Bissau,2005,1214784,GNB
African Capacity Building Foundation (ACBF),Kenya,2000,2339640,KEN
African Capacity Building Foundation (ACBF),Kenya,2001,1382727,KEN
African Capacity Building Foundation (ACBF),Kenya,2003,2324990,KEN
African Capacity Building Foundation (ACBF),Kenya,2005,2912020,KEN
African Capacity Building Foundation (ACBF),Kenya,2006,4752880,KEN
African Capacity Building Foundation (ACBF),Kenya,2008,1463154,KEN
African Capacity Building Foundation (ACBF),Lesotho,2007,1320241,LSO
African Capacity Building Foundation (ACBF),Madagascar,1999,2595946,MDG
African Capacity Building Foundation (ACBF),Madagascar,2008,2090220,MDG
African Capacity Building Foundation (ACBF),Malawi,2005,1457741,MWI
African Capacity Building Foundation (ACBF),Malawi,2007,1980361,MWI
African Capacity Building Foundation (ACBF),Mali,2004,4371929,MLI
African Capacity Building Foundation (ACBF),Mali,2005,2429569,MLI
African Capacity Building Foundation (ACBF),Mali,2006,1616306,MLI
African Capacity Building Foundation (ACBF),Mali,2008,1567665,MLI
African Capacity Building Foundation (ACBF),Mauritania,2000,1871712,MRT
African Capacity Building Foundation (ACBF),Mauritania,2006,1722919,MRT
African Capacity Building Foundation (ACBF),Mozambique,2006,1299158,MOZ
African Capacity Building Foundation (ACBF),Mozambique,2007,2200401,MOZ
African Capacity Building Foundation (ACBF),Namibia,2000,3119520,NAM
African Capacity Building Foundation (ACBF),Namibia,2005,1579220,NAM
African Capacity Building Foundation (ACBF),Niger,2000,2339640,NER
African Capacity Building Foundation (ACBF),Niger,2008,1672176,NER
African Capacity Building Foundation (ACBF),Nigeria,2000,5369021,NGA
African Capacity Building Foundation (ACBF),Nigeria,2007,2530461,NGA
African Capacity Building Foundation (ACBF),Rwanda,2000,4679279,RWA
African Capacity Building Foundation (ACBF),Rwanda,2004,4996491,RWA
African Capacity Building Foundation (ACBF),Rwanda,2007,1870341,RWA
African Capacity Building Foundation (ACBF),Sao Tome & Principe,2000,1715736,STP
African Capacity Building Foundation (ACBF),Sao Tome & Principe,2005,1214784,STP
African Capacity Building Foundation (ACBF),Senegal,2000,2339640,SEN
African Capacity Building Foundation (ACBF),Senegal,2002,2817025,SEN
African Capacity Building Foundation (ACBF),Senegal,2004,2748070,SEN
African Capacity Building Foundation (ACBF),Senegal,2008,1567665,SEN
African Capacity Building Foundation (ACBF),Sierra Leone,2006,1282315,SLE
African Capacity Building Foundation (ACBF),Swaziland,2005,1214784,SWZ
African Capacity Building Foundation (ACBF),Swaziland,2007,1980361,SWZ
African Capacity Building Foundation (ACBF),Tanzania,2002,2347521,TZA
African Capacity Building Foundation (ACBF),Tanzania,2003,2051462,TZA
African Capacity Building Foundation (ACBF),Tanzania,2006,1425864,TZA
African Capacity Building Foundation (ACBF),Uganda,2003,2465708,UGA
African Capacity Building Foundation (ACBF),Uganda,2005,5466530,UGA
African Capacity Building Foundation (ACBF),Uganda,2008,1672176,UGA
African Capacity Building Foundation (ACBF),Zambia,2002,2347521,ZMB
African Capacity Building Foundation (ACBF),Zambia,2006,2019974,ZMB
African Capacity Building Foundation (ACBF),Zambia,2007,3745082,ZMB
African Capacity Building Foundation (ACBF),Zimbabwe,2005,1214784,ZWE
African Capacity Building Foundation (ACBF),Zimbabwe,2006,1901152,ZWE
African Development Bank (AFDB),Algeria,1990,348574009,DZA
African Development Bank (AFDB),Algeria,1991,110833579,DZA
African Development Bank (AFDB),Algeria,1992,382753157,DZA
African Development Bank (AFDB),Algeria,1993,377484660,DZA
African Development Bank (AFDB),Algeria,1994,124127163,DZA
African Development Bank (AFDB),Algeria,1995,51187067,DZA
African Development Bank (AFDB),Algeria,1996,500293578,DZA
African Development Bank (AFDB),Algeria,1998,338375093,DZA
African Development Bank (AFDB),Algeria,1999,325565656,DZA
African Development Bank (AFDB),Algeria,2000,181376224,DZA
African Development Bank (AFDB),Algeria,2002,316745936,DZA
African Development Bank (AFDB),Algeria,2003,731619,DZA
African Development Bank (AFDB),Algeria,2009,844044,DZA
African Development Bank (AFDB),Algeria,2012,777938,DZA
African Development Bank (AFDB),Angola,1990,104479250,AGO
African Development Bank (AFDB),Angola,1991,136283751,AGO
African Development Bank (AFDB),Angola,1992,55437473,AGO
African Development Bank (AFDB),Angola,2005,590327,AGO
African Development Bank (AFDB),Benin,1997,3135045,BEN
African Development Bank (AFDB),Benin,2013,220371,BEN
African Development Bank (AFDB),Botswana,1990,26724007,BWA
African Development Bank (AFDB),Botswana,1991,41777123,BWA
African Development Bank (AFDB),Botswana,2004,66616164,BWA
African Development Bank (AFDB),Botswana,2007,1043174,BWA
African Development Bank (AFDB),Botswana,2008,63132186,BWA
African Development Bank (AFDB),Botswana,2009,1875398293,BWA
African Development Bank (AFDB),Botswana,2010,3396059,BWA
African Development Bank (AFDB),Botswana,2011,2670013,BWA
African Development Bank (AFDB),Botswana,2012,939160,BWA
African Development Bank (AFDB),Burkina Faso,2000,14266231,BFA
African Development Bank (AFDB),Burkina Faso,2005,572964,BFA
African Development Bank (AFDB),Burkina Faso,2009,1080376,BFA
African Development Bank (AFDB),Burundi,1990,9713596,BDI
African Development Bank (AFDB),Burundi,2000,751924,BDI
African Development Bank (AFDB),Burundi,2005,590327,BDI
African Development Bank (AFDB),Burundi,2008,3302756,BDI
African Development Bank (AFDB),Burundi,2009,1114138,BDI
African Development Bank (AFDB),Burundi,2013,485037,BDI
African Development Bank (AFDB),Cameroon,1990,21936924,CMR
African Development Bank (AFDB),Cameroon,1991,214531174,CMR
African Development Bank (AFDB),Cameroon,1992,91943070,CMR
African Development Bank (AFDB),Cameroon,1993,5531375,CMR
African Development Bank (AFDB),Cameroon,2000,134635013,CMR
African Development Bank (AFDB),Cameroon,2002,72957736,CMR
African Development Bank (AFDB),Cameroon,2006,202691225,CMR
African Development Bank (AFDB),Cameroon,2010,45576113,CMR
African Development Bank (AFDB),Cape Verde,2003,711296,CPV
African Development Bank (AFDB),Cape Verde,2009,62408615,CPV
African Development Bank (AFDB),Cape Verde,2010,22115407,CPV
African Development Bank (AFDB),Cape Verde,2012,155305,CPV
African Development Bank (AFDB),Cape Verde,2013,102979611,CPV
African Development Bank (AFDB),Central African Republic,2008,4954134,CAF
African Development Bank (AFDB),Central African Republic,2009,1063495,CAF
African Development Bank (AFDB),Central African Republic,2012,962430,CAF
African Development Bank (AFDB),Chad,2005,572964,TCD
African Development Bank (AFDB),Chad,2009,1063495,TCD
African Development Bank (AFDB),Chad,2010,1115614,TCD
African Development Bank (AFDB),Chad,2012,962430,TCD
African Development Bank (AFDB),Comoros,2008,2477067,COM
African Development Bank (AFDB),Comoros,2009,1080376,COM
African Development Bank (AFDB),Comoros,2012,1018444,COM
African Development Bank (AFDB),"Congo, Democratic Republic of",1990,139708463,COD
African Development Bank (AFDB),"Congo, Democratic Republic of",2001,776175,COD
African Development Bank (AFDB),"Congo, Democratic Republic of",2002,851067,COD
African Development Bank (AFDB),"Congo, Democratic Republic of",2004,1039669968,COD
African Development Bank (AFDB),"Congo, Democratic Republic of",2007,114749109,COD
African Development Bank (AFDB),"Congo, Democratic Republic of",2008,1155965,COD
African Development Bank (AFDB),"Congo, Democratic Republic of",2009,2852869,COD
African Development Bank (AFDB),"Congo, Democratic Republic of",2012,103363084,COD
African Development Bank (AFDB),"Congo, Democratic Republic of",2013,130110332,COD
African Development Bank (AFDB),"Congo, Republic of",1990,18590614,COG
African Development Bank (AFDB),"Congo, Republic of",1994,107562533,COG
African Development Bank (AFDB),"Congo, Republic of",1998,777328,COG
African Development Bank (AFDB),"Congo, Republic of",2003,731619,COG
African Development Bank (AFDB),"Congo, Republic of",2006,47441795,COG
African Development Bank (AFDB),"Congo, Republic of",2010,42475362,COG
African Development Bank (AFDB),"Congo, Republic of",2012,1018444,COG
African Development Bank (AFDB),"Congo, Republic of",2013,111604,COG
African Development Bank (AFDB),Cote d`Ivoire,1990,276651572,CIV
African Development Bank (AFDB),Cote d`Ivoire,1991,148139421,CIV
African Development Bank (AFDB),Cote d`Ivoire,1992,315339215,CIV
African Development Bank (AFDB),Cote d`Ivoire,1993,114934367,CIV
African Development Bank (AFDB),Cote d`Ivoire,1997,5354005,CIV
African Development Bank (AFDB),Cote d`Ivoire,1998,70564087,CIV
African Development Bank (AFDB),Cote d`Ivoire,1999,1447326,CIV
African Development Bank (AFDB),Cote d`Ivoire,2008,511927,CIV
African Development Bank (AFDB),Cote d`Ivoire,2009,190365689,CIV
African Development Bank (AFDB),Cote d`Ivoire,2010,1591391,CIV
African Development Bank (AFDB),Cote d`Ivoire,2013,107034577,CIV
African Development Bank (AFDB),Djibouti,2000,751924,DJI
African Development Bank (AFDB),Djibouti,2003,14124305,DJI
African Development Bank (AFDB),Djibouti,2004,659566,DJI
African Development Bank (AFDB),Djibouti,2005,590327,DJI
African Development Bank (AFDB),Djibouti,2006,589894,DJI
African Development Bank (AFDB),Djibouti,2008,85805608,DJI
African Development Bank (AFDB),Djibouti,2009,557069,DJI
African Development Bank (AFDB),Djibouti,2012,1018444,DJI
African Development Bank (AFDB),Egypt,1990,580956682,EGY
African Development Bank (AFDB),Egypt,1991,225822289,EGY
African Development Bank (AFDB),Egypt,1992,176766109,EGY
African Development Bank (AFDB),Egypt,1993,217644819,EGY
African Development Bank (AFDB),Egypt,1997,32083314,EGY
African Development Bank (AFDB),Egypt,1998,91703083,EGY
African Development Bank (AFDB),Egypt,1999,96247182,EGY
African Development Bank (AFDB),Egypt,2001,153049366,EGY
African Development Bank (AFDB),Egypt,2002,353873743,EGY
African Development Bank (AFDB),Egypt,2005,494207612,EGY
African Development Bank (AFDB),Egypt,2006,712431326,EGY
African Development Bank (AFDB),Egypt,2007,550708790,EGY
African Development Bank (AFDB),Egypt,2008,499426288,EGY
African Development Bank (AFDB),Egypt,2009,131502059,EGY
African Development Bank (AFDB),Egypt,2010,1068758209,EGY
African Development Bank (AFDB),Egypt,2012,1540849,EGY
African Development Bank (AFDB),Equatorial Guinea,2008,104928566,GNQ
African Development Bank (AFDB),Eritrea,2000,751924,ERI
African Development Bank (AFDB),Eritrea,2003,731619,ERI
African Development Bank (AFDB),Eritrea,2009,3376176,ERI
African Development Bank (AFDB),Ethiopia,1990,65531914,ETH
African Development Bank (AFDB),Ethiopia,1992,116883760,ETH
African Development Bank (AFDB),Ethiopia,2000,751924,ETH
African Development Bank (AFDB),Ethiopia,2002,244745652,ETH
African Development Bank (AFDB),Ethiopia,2003,731619,ETH
African Development Bank (AFDB),Ethiopia,2004,163164983,ETH
African Development Bank (AFDB),Ethiopia,2006,607770,ETH
African Development Bank (AFDB),Ethiopia,2008,55238598,ETH
African Development Bank (AFDB),Ethiopia,2012,3338822,ETH
African Development Bank (AFDB),Ethiopia,2013,1423329,ETH
African Development Bank (AFDB),Gabon,1991,54197349,GAB
African Development Bank (AFDB),Gabon,1992,189318766,GAB
African Development Bank (AFDB),Gabon,1993,258728999,GAB
African Development Bank (AFDB),Gabon,1994,150415446,GAB
African Development Bank (AFDB),Gabon,1995,105355904,GAB
African Development Bank (AFDB),Gabon,1997,40328074,GAB
African Development Bank (AFDB),Gabon,1998,36944661,GAB
African Development Bank (AFDB),Gabon,2002,808514,GAB
African Development Bank (AFDB),Gabon,2004,147917370,GAB
African Development Bank (AFDB),Gabon,2005,26668876,GAB
African Development Bank (AFDB),Gabon,2007,413966102,GAB
African Development Bank (AFDB),Gabon,2009,172522598,GAB
African Development Bank (AFDB),Gabon,2010,820304,GAB
African Development Bank (AFDB),Gambia,2000,751924,GMB
African Development Bank (AFDB),Gambia,2001,2062990,GMB
African Development Bank (AFDB),Gambia,2003,731619,GMB
African Development Bank (AFDB),Gambia,2009,1688088,GMB
African Development Bank (AFDB),Gambia,2010,7448364,GMB
African Development Bank (AFDB),Gambia,2012,814755,GMB
African Development Bank (AFDB),Ghana,1990,62139127,GHA
African Development Bank (AFDB),Ghana,1993,2666460,GHA
African Development Bank (AFDB),Ghana,1996,15048830,GHA
African Development Bank (AFDB),Ghana,2002,174021967,GHA
African Development Bank (AFDB),Ghana,2004,107218269,GHA
African Development Bank (AFDB),Ghana,2008,65840445,GHA
African Development Bank (AFDB),Ghana,2009,107784422,GHA
African Development Bank (AFDB),Ghana,2010,5463228,GHA
African Development Bank (AFDB),Ghana,2013,19512349,GHA
African Development Bank (AFDB),Guinea,1990,199849099,GIN
African Development Bank (AFDB),Guinea,1991,67746687,GIN
African Development Bank (AFDB),Guinea,1992,23664846,GIN
African Development Bank (AFDB),Guinea,1993,5805833,GIN
African Development Bank (AFDB),Guinea,2001,108541883,GIN
African Development Bank (AFDB),Guinea,2008,221961734,GIN
African Development Bank (AFDB),Guinea-Bissau,2000,3271885,GNB
African Development Bank (AFDB),Guinea-Bissau,2006,625645,GNB
African Development Bank (AFDB),Guinea-Bissau,2009,573950,GNB
African Development Bank (AFDB),Kenya,1990,28373924,KEN
African Development Bank (AFDB),Kenya,1991,27098675,KEN
African Development Bank (AFDB),Kenya,1996,3982337,KEN
African Development Bank (AFDB),Kenya,1997,1506450,KEN
African Development Bank (AFDB),Kenya,2000,751924,KEN
African Development Bank (AFDB),Kenya,2003,10689762,KEN
African Development Bank (AFDB),Kenya,2004,19592989,KEN
African Development Bank (AFDB),Kenya,2005,11980159,KEN
African Development Bank (AFDB),Kenya,2006,48961219,KEN
African Development Bank (AFDB),Kenya,2008,1535781,KEN
African Development Bank (AFDB),Kenya,2009,2515251,KEN
African Development Bank (AFDB),Kenya,2012,75945,KEN
African Development Bank (AFDB),Kenya,2013,970065,KEN
African Development Bank (AFDB),Lesotho,1992,58153787,LSO
African Development Bank (AFDB),Lesotho,2013,970065,LSO
African Development Bank (AFDB),Liberia,1999,765015,LBR
African Development Bank (AFDB),Liberia,2003,711296,LBR
African Development Bank (AFDB),Liberia,2008,4954134,LBR
African Development Bank (AFDB),Liberia,2009,6583543,LBR
African Development Bank (AFDB),Liberia,2010,194001993,LBR
African Development Bank (AFDB),Liberia,2013,122866,LBR
African Development Bank (AFDB),Libya,2010,951553,LBY
African Development Bank (AFDB),Madagascar,2000,751924,MDG
African Development Bank (AFDB),Madagascar,2001,25920145,MDG
African Development Bank (AFDB),Madagascar,2004,659566,MDG
African Development Bank (AFDB),Madagascar,2005,16233984,MDG
African Development Bank (AFDB),Madagascar,2007,182398924,MDG
African Development Bank (AFDB),Madagascar,2009,1097257,MDG
African Development Bank (AFDB),Madagascar,2012,2036888,MDG
African Development Bank (AFDB),Madagascar,2013,970065,MDG
African Development Bank (AFDB),Malawi,1991,33873343,MWI
African Development Bank (AFDB),Malawi,2001,33620614,MWI
African Development Bank (AFDB),Malawi,2002,808514,MWI
African Development Bank (AFDB),Malawi,2005,607689,MWI
African Development Bank (AFDB),Malawi,2006,23971156,MWI
African Development Bank (AFDB),Malawi,2010,2674192,MWI
African Development Bank (AFDB),Mali,1992,24693752,MLI
African Development Bank (AFDB),Mali,1993,1034494,MLI
African Development Bank (AFDB),Mali,1997,3786482,MLI
African Development Bank (AFDB),Mali,2010,44640966,MLI
African Development Bank (AFDB),Mali,2012,1018444,MLI
African Development Bank (AFDB),Mauritania,1990,108778329,MRT
African Development Bank (AFDB),Mauritania,2000,83240002,MRT
African Development Bank (AFDB),Mauritania,2001,48224950,MRT
African Development Bank (AFDB),Mauritania,2002,16063893,MRT
African Development Bank (AFDB),Mauritania,2005,590327,MRT
African Development Bank (AFDB),Mauritania,2008,13656897,MRT
African Development Bank (AFDB),Mauritania,2009,189622930,MRT
African Development Bank (AFDB),Mauritania,2012,1018444,MRT
African Development Bank (AFDB),Mauritius,1991,57697595,MUS
African Development Bank (AFDB),Mauritius,1994,53974879,MUS
African Development Bank (AFDB),Mauritius,1997,18932412,MUS
African Development Bank (AFDB),Mauritius,2000,34893331,MUS
African Development Bank (AFDB),Mauritius,2001,187548282,MUS
African Development Bank (AFDB),Mauritius,2002,17127728,MUS
African Development Bank (AFDB),Mauritius,2005,13438613,MUS
African Development Bank (AFDB),Mauritius,2007,58522046,MUS
African Development Bank (AFDB),Mauritius,2009,739163112,MUS
African Development Bank (AFDB),Mauritius,2010,492183,MUS
African Development Bank (AFDB),Mauritius,2012,767920,MUS
African Development Bank (AFDB),Mauritius,2013,145509841,MUS
African Development Bank (AFDB),Morocco,1990,177865698,MAR
African Development Bank (AFDB),Morocco,1991,598203243,MAR
African Development Bank (AFDB),Morocco,1992,459921134,MAR
African Development Bank (AFDB),Morocco,1993,702505707,MAR
African Development Bank (AFDB),Morocco,1994,333443851,MAR
African Development Bank (AFDB),Morocco,1995,298177087,MAR
African Development Bank (AFDB),Morocco,1996,120890940,MAR
African Development Bank (AFDB),Morocco,1997,308374390,MAR
African Development Bank (AFDB),Morocco,1998,490601780,MAR
African Development Bank (AFDB),Morocco,1999,40525129,MAR
African Development Bank (AFDB),Morocco,2000,162313939,MAR
African Development Bank (AFDB),Morocco,2001,273356420,MAR
African Development Bank (AFDB),Morocco,2002,521853133,MAR
African Development Bank (AFDB),Morocco,2003,359732845,MAR
African Development Bank (AFDB),Morocco,2004,716482640,MAR
African Development Bank (AFDB),Morocco,2005,305077359,MAR
African Development Bank (AFDB),Morocco,2006,439614191,MAR
African Development Bank (AFDB),Morocco,2007,311630761,MAR
African Development Bank (AFDB),Morocco,2008,358365569,MAR
African Development Bank (AFDB),Morocco,2009,994266977,MAR
African Development Bank (AFDB),Morocco,2010,849228342,MAR
African Development Bank (AFDB),Morocco,2012,2463195,MAR
African Development Bank (AFDB),Morocco,2013,795903090,MAR
African Development Bank (AFDB),Mozambique,1999,7567448,MOZ
African Development Bank (AFDB),Mozambique,2000,751924,MOZ
African Development Bank (AFDB),Mozambique,2001,817026,MOZ
African Development Bank (AFDB),Mozambique,2003,58732723,MOZ
African Development Bank (AFDB),Mozambique,2005,607689,MOZ
African Development Bank (AFDB),Mozambique,2009,557069,MOZ
African Development Bank (AFDB),Mozambique,2010,8678821,MOZ
African Development Bank (AFDB),Namibia,1998,60696343,NAM
African Development Bank (AFDB),Namibia,1999,14680021,NAM
African Development Bank (AFDB),Namibia,2001,54802009,NAM
African Development Bank (AFDB),Namibia,2002,31319273,NAM
African Development Bank (AFDB),Namibia,2004,114648085,NAM
African Development Bank (AFDB),Namibia,2009,1012853,NAM
African Development Bank (AFDB),Namibia,2010,967959,NAM
African Development Bank (AFDB),Namibia,2012,1550553,NAM
African Development Bank (AFDB),Namibia,2013,277258573,NAM
African Development Bank (AFDB),Niger,2002,20106463,NER
African Development Bank (AFDB),Niger,2005,1163291,NER
African Development Bank (AFDB),Niger,2009,35719943,NER
African Development Bank (AFDB),Niger,2010,1115614,NER
African Development Bank (AFDB),Niger,2013,17381518,NER
African Development Bank (AFDB),Nigeria,1990,569174881,NGA
African Development Bank (AFDB),Nigeria,1991,700297500,NGA
African Development Bank (AFDB),Nigeria,1992,252575928,NGA
African Development Bank (AFDB),Nigeria,1993,332051383,NGA
African Development Bank (AFDB),Nigeria,1994,464584090,NGA
African Development Bank (AFDB),Nigeria,1996,4182454,NGA
African Development Bank (AFDB),Nigeria,1999,75488391,NGA
African Development Bank (AFDB),Nigeria,2000,47554103,NGA
African Development Bank (AFDB),Nigeria,2001,49021551,NGA
African Development Bank (AFDB),Nigeria,2002,241107339,NGA
African Development Bank (AFDB),Nigeria,2005,128673855,NGA
African Development Bank (AFDB),Nigeria,2006,160665732,NGA
African Development Bank (AFDB),Nigeria,2007,57044216,NGA
African Development Bank (AFDB),Nigeria,2008,87803775,NGA
African Development Bank (AFDB),Nigeria,2009,330645806,NGA
African Development Bank (AFDB),Nigeria,2010,111282496,NGA
African Development Bank (AFDB),Nigeria,2013,533536079,NGA
African Development Bank (AFDB),Rwanda,2000,751924,RWA
African Development Bank (AFDB),Rwanda,2001,245108,RWA
African Development Bank (AFDB),Rwanda,2005,190988,RWA
African Development Bank (AFDB),Rwanda,2008,1023854,RWA
African Development Bank (AFDB),Rwanda,2010,52499482,RWA
African Development Bank (AFDB),Rwanda,2013,7909816,RWA
African Development Bank (AFDB),Sao Tome & Principe,2009,1688088,STP
African Development Bank (AFDB),Senegal,1991,252017674,SEN
African Development Bank (AFDB),Senegal,1992,6873094,SEN
African Development Bank (AFDB),Senegal,1995,1093316,SEN
African Development Bank (AFDB),Senegal,2000,82000344,SEN
African Development Bank (AFDB),Senegal,2004,62949753,SEN
African Development Bank (AFDB),Senegal,2005,11615546,SEN
African Development Bank (AFDB),Senegal,2009,159439916,SEN
African Development Bank (AFDB),Senegal,2010,116204323,SEN
African Development Bank (AFDB),Senegal,2012,1018444,SEN
African Development Bank (AFDB),Senegal,2013,187121,SEN
African Development Bank (AFDB),Seychelles,1991,38163967,SYC
African Development Bank (AFDB),Seychelles,1994,10541128,SYC
African Development Bank (AFDB),Seychelles,1995,2007726,SYC
African Development Bank (AFDB),Seychelles,1997,17018814,SYC
African Development Bank (AFDB),Seychelles,1999,14659345,SYC
African Development Bank (AFDB),Seychelles,2005,555602,SYC
African Development Bank (AFDB),Seychelles,2009,23059283,SYC
African Development Bank (AFDB),Seychelles,2010,492183,SYC
African Development Bank (AFDB),Seychelles,2012,939160,SYC
African Development Bank (AFDB),Seychelles,2013,21341517,SYC
African Development Bank (AFDB),Sierra Leone,2000,792568,SLE
African Development Bank (AFDB),Sierra Leone,2012,763833,SLE
African Development Bank (AFDB),Somalia,2000,751924,SOM
African Development Bank (AFDB),Somalia,2005,555602,SOM
African Development Bank (AFDB),Somalia,2006,625645,SOM
African Development Bank (AFDB),South Africa,1997,271262790,ZAF
African Development Bank (AFDB),South Africa,1999,170784473,ZAF
African Development Bank (AFDB),South Africa,2000,153961488,ZAF
African Development Bank (AFDB),South Africa,2002,32042680,ZAF
African Development Bank (AFDB),South Africa,2003,216030741,ZAF
African Development Bank (AFDB),South Africa,2004,227104085,ZAF
African Development Bank (AFDB),South Africa,2007,739071191,ZAF
African Development Bank (AFDB),South Africa,2008,336616918,ZAF
African Development Bank (AFDB),South Africa,2009,2925287772,ZAF
African Development Bank (AFDB),South Africa,2010,662248156,ZAF
African Development Bank (AFDB),South Africa,2012,11015,ZAF
African Development Bank (AFDB),South Africa,2013,265916,ZAF
African Development Bank (AFDB),Sudan,1990,43246415,SDN
African Development Bank (AFDB),Sudan,1992,57618755,SDN
African Development Bank (AFDB),Sudan,1995,3081163,SDN
African Development Bank (AFDB),Sudan,1999,723663,SDN
African Development Bank (AFDB),Sudan,2000,751924,SDN
African Development Bank (AFDB),Sudan,2003,711296,SDN
African Development Bank (AFDB),Sudan,2006,589894,SDN
African Development Bank (AFDB),Sudan,2010,1115614,SDN
African Development Bank (AFDB),Sudan,2012,363481,SDN
African Development Bank (AFDB),Sudan,2013,970065,SDN
African Development Bank (AFDB),Swaziland,1991,13549337,SWZ
African Development Bank (AFDB),Swaziland,1992,84781883,SWZ
African Development Bank (AFDB),Swaziland,1994,53200429,SWZ
African Development Bank (AFDB),Swaziland,1999,22971132,SWZ
African Development Bank (AFDB),Swaziland,2001,60521189,SWZ
African Development Bank (AFDB),Swaziland,2002,20574550,SWZ
African Development Bank (AFDB),Swaziland,2003,101532416,SWZ
African Development Bank (AFDB),Swaziland,2005,607689,SWZ
African Development Bank (AFDB),Swaziland,2006,9831570,SWZ
African Development Bank (AFDB),Swaziland,2010,492183,SWZ
African Development Bank (AFDB),Swaziland,2012,1516825,SWZ
African Development Bank (AFDB),Tanzania,1992,20578127,TZA
African Development Bank (AFDB),Tanzania,1994,6604340,TZA
African Development Bank (AFDB),Tanzania,1997,1140016,TZA
African Development Bank (AFDB),Tanzania,2000,24976065,TZA
African Development Bank (AFDB),Tanzania,2006,607770,TZA
African Development Bank (AFDB),Tanzania,2007,851925,TZA
African Development Bank (AFDB),Tanzania,2010,9105379,TZA
African Development Bank (AFDB),Tanzania,2012,783074,TZA
African Development Bank (AFDB),Tanzania,2013,592670,TZA
African Development Bank (AFDB),Togo,2003,29589911,TGO
African Development Bank (AFDB),Togo,2009,4777289,TGO
African Development Bank (AFDB),Togo,2013,1091396,TGO
African Development Bank (AFDB),Tunisia,1990,209144406,TUN
African Development Bank (AFDB),Tunisia,1991,488792344,TUN
African Development Bank (AFDB),Tunisia,1992,478029885,TUN
African Development Bank (AFDB),Tunisia,1993,304436734,TUN
African Development Bank (AFDB),Tunisia,1994,717442092,TUN
African Development Bank (AFDB),Tunisia,1995,415161896,TUN
African Development Bank (AFDB),Tunisia,1996,54732118,TUN
African Development Bank (AFDB),Tunisia,1997,342941311,TUN
African Development Bank (AFDB),Tunisia,1998,226008046,TUN
African Development Bank (AFDB),Tunisia,1999,543739719,TUN
African Development Bank (AFDB),Tunisia,2000,234295405,TUN
African Development Bank (AFDB),Tunisia,2001,740368392,TUN
African Development Bank (AFDB),Tunisia,2002,183468813,TUN
African Development Bank (AFDB),Tunisia,2003,266390494,TUN
African Development Bank (AFDB),Tunisia,2004,272012768,TUN
