term,coef,std_err,z,p_value,significance
const,-1.65178714481474,1.4750360590679559,-1.1198283151521526,0.2627869306076458,
arms_tiv_total_log_lag1,0.010661292998714446,0.046873739263265685,0.22744703465698451,0.8200761501261346,
oda_total_log_lag1,0.06318920497624038,0.07466750057597728,0.8462745436609699,0.3973996054548774,
econ_neocol_score_total_lag1,-0.004608659858932955,0.06148667257272987,-0.07495380163045211,0.9402514693978591,
colonial_tie_flag,-0.7402501667109426,0.38644339955086904,-1.9155461513154932,0.055422889361483305,.
gdp_per_capita_log,0.18858282068355453,0.062103514397177005,3.036588549200153,0.002392718182290257,**
population_log,0.0637227907767144,0.06350948547550041,1.0033586368967873,0.3156878537878375,
armed_conflict,-0.9851661010455061,0.35108794174913754,-2.8060379862018605,0.005015477937408371,**
conflict_intensity,1.2307203542267853,0.23069042920187474,5.3349432765144975,9.55744301076222e-08,***
arms_tiv_in_strength_lag1,-0.014813459132819128,0.009607728575830967,-1.5418273961322768,0.12311554277620428,
bilateral_oda_in_strength_lag1,-0.0094162708276513,0.006665685694639672,-1.4126484894455134,0.15775910417275718,
econ_neocol_score_in_strength_lag1,-0.01175960453611292,0.006787556221484914,-1.732524070871014,0.08318029512609998,.
colonial_tie_in_strength_lag1,-0.07301358128180059,0.22386843578391655,-0.32614504597814375,0.7443146169007955,
arms_tiv_pagerank_lag1,5.327555272557598,16.680540807794827,0.3193874427661259,0.7494327318197165,
bilateral_oda_pagerank_lag1,100.99998741206902,50.64597861198153,1.9942350840106982,0.0461263697220478,*
econ_neocol_score_pagerank_lag1,0.14888677641667836,15.65507281600414,0.009510449307171015,0.9924118737209737,
colonial_tie_pagerank_lag1,-166.93999748946698,146.33864795394177,-1.1407785969295632,0.2539620694622732,
arms_x_colonial,0.010291696702800878,0.053319724731531626,0.1930185640421112,0.8469444294647925,
oda_x_colonial,0.16691069880007994,0.05684506312140232,2.9362391320353307,0.0033221811293135833,**
econ_x_colonial,0.07774093405429938,0.04966273663616583,1.5653775711926075,0.11749440424098205,
alpha,0.40587957040806444,0.059517190083657114,6.819535160137127,9.133555860778809e-12,***
