feature,vif
armed_conflict,8.22353374856723
conflict_intensity,8.05530158658066
oda_total_log_lag1,2.4833274277906208
gdp_per_capita_log,2.478368034117856
arms_tiv_total_log_lag1,2.295922049720839
population_log,2.2340872422792644
econ_neocol_score_total_lag1,1.4442440045022822
colonial_tie_flag,1.3530278526566408
