donor,recipient,year,aid_amount
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2000,6239039
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2001,2440107
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2004,4371929
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2005,17006982
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2006,28517280
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2007,5501003
African Capacity Building Foundation (ACBF),"Africa, Regional Programs, Regional Programs",2008,1567665
African Capacity Building Foundation (ACBF),"Africa, South of Sahara, Regional Programs",2006,2376440
African Capacity Building Foundation (ACBF),Angola,2008,1504958
African Capacity Building Foundation (ACBF),Benin,2007,1650301
African Capacity Building Foundation (ACBF),Botswana,2006,2019974
African Capacity Building Foundation (ACBF),Burkina Faso,2005,2065134
African Capacity Building Foundation (ACBF),Burkina Faso,2006,2376440
African Capacity Building Foundation (ACBF),Burkina Faso,2008,522555
African Capacity Building Foundation (ACBF),Burundi,2006,3658630
African Capacity Building Foundation (ACBF),Burundi,2008,4702995
African Capacity Building Foundation (ACBF),Cameroon,2001,2779851
African Capacity Building Foundation (ACBF),Cameroon,2003,2085653
African Capacity Building Foundation (ACBF),Cameroon,2004,4996491
African Capacity Building Foundation (ACBF),Cameroon,2008,1463154
African Capacity Building Foundation (ACBF),Cape Verde,2005,1579219
African Capacity Building Foundation (ACBF),Central African Republic,2006,1663508
African Capacity Building Foundation (ACBF),Chad,2003,1280632
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2001,2599794
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2003,2036541
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2004,2248421
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2006,2376440
African Capacity Building Foundation (ACBF),"Congo, Democratic Republic of",2007,2750501
African Capacity Building Foundation (ACBF),"Congo, Republic of",2003,2075410
African Capacity Building Foundation (ACBF),"Congo, Republic of",2004,1873684
African Capacity Building Foundation (ACBF),"Congo, Republic of",2006,2376440
African Capacity Building Foundation (ACBF),Cote d`Ivoire,2000,2735819
African Capacity Building Foundation (ACBF),Cote d`Ivoire,2006,2019974
African Capacity Building Foundation (ACBF),Djibouti,2003,1366253
African Capacity Building Foundation (ACBF),Djibouti,2005,819980
African Capacity Building Foundation (ACBF),Djibouti,2007,770140
African Capacity Building Foundation (ACBF),Eritrea,2005,1093306
African Capacity Building Foundation (ACBF),Ethiopia,2001,2440107
African Capacity Building Foundation (ACBF),Ethiopia,2005,971828
African Capacity Building Foundation (ACBF),Ethiopia,2008,1463154
African Capacity Building Foundation (ACBF),Gabon,2000,2219304
African Capacity Building Foundation (ACBF),Gabon,2003,1786048
African Capacity Building Foundation (ACBF),Gabon,2006,3861715
African Capacity Building Foundation (ACBF),Gambia,2008,1045110
African Capacity Building Foundation (ACBF),Ghana,2003,2051462
African Capacity Building Foundation (ACBF),Ghana,2007,1650301
African Capacity Building Foundation (ACBF),Ghana,2008,2299242
African Capacity Building Foundation (ACBF),Guinea,1999,2262236
African Capacity Building Foundation (ACBF),Guinea-Bissau,2000,2027688
African Capacity Building Foundation (ACBF),Guinea-Bissau,2005,1214784
African Capacity Building Foundation (ACBF),Kenya,2000,2339640
African Capacity Building Foundation (ACBF),Kenya,2001,1382727
African Capacity Building Foundation (ACBF),Kenya,2003,2324990
African Capacity Building Foundation (ACBF),Kenya,2005,2912020
African Capacity Building Foundation (ACBF),Kenya,2006,4752880
African Capacity Building Foundation (ACBF),Kenya,2008,1463154
African Capacity Building Foundation (ACBF),Lesotho,2007,1320241
African Capacity Building Foundation (ACBF),Madagascar,1999,2595946
African Capacity Building Foundation (ACBF),Madagascar,2008,2090220
African Capacity Building Foundation (ACBF),Malawi,2005,1457741
African Capacity Building Foundation (ACBF),Malawi,2007,1980361
African Capacity Building Foundation (ACBF),Mali,2004,4371929
African Capacity Building Foundation (ACBF),Mali,2005,2429569
African Capacity Building Foundation (ACBF),Mali,2006,1616306
African Capacity Building Foundation (ACBF),Mali,2008,1567665
African Capacity Building Foundation (ACBF),Mauritania,2000,1871712
African Capacity Building Foundation (ACBF),Mauritania,2006,1722919
African Capacity Building Foundation (ACBF),Mozambique,2006,1299158
African Capacity Building Foundation (ACBF),Mozambique,2007,2200401
African Capacity Building Foundation (ACBF),Namibia,2000,3119520
African Capacity Building Foundation (ACBF),Namibia,2005,1579220
African Capacity Building Foundation (ACBF),Niger,2000,2339640
African Capacity Building Foundation (ACBF),Niger,2008,1672176
African Capacity Building Foundation (ACBF),Nigeria,2000,5369021
African Capacity Building Foundation (ACBF),Nigeria,2007,2530461
African Capacity Building Foundation (ACBF),Rwanda,2000,4679279
African Capacity Building Foundation (ACBF),Rwanda,2004,4996491
African Capacity Building Foundation (ACBF),Rwanda,2007,1870341
African Capacity Building Foundation (ACBF),Sao Tome & Principe,2000,1715736
African Capacity Building Foundation (ACBF),Sao Tome & Principe,2005,1214784
African Capacity Building Foundation (ACBF),Senegal,2000,2339640
African Capacity Building Foundation (ACBF),Senegal,2002,2817025
African Capacity Building Foundation (ACBF),Senegal,2004,2748070
African Capacity Building Foundation (ACBF),Senegal,2008,1567665
African Capacity Building Foundation (ACBF),Sierra Leone,2006,1282315
African Capacity Building Foundation (ACBF),Swaziland,2005,1214784
African Capacity Building Foundation (ACBF),Swaziland,2007,1980361
African Capacity Building Foundation (ACBF),Tanzania,2002,2347521
African Capacity Building Foundation (ACBF),Tanzania,2003,2051462
African Capacity Building Foundation (ACBF),Tanzania,2006,1425864
African Capacity Building Foundation (ACBF),Uganda,2003,2465708
African Capacity Building Foundation (ACBF),Uganda,2005,5466530
African Capacity Building Foundation (ACBF),Uganda,2008,1672176
African Capacity Building Foundation (ACBF),Zambia,2002,2347521
African Capacity Building Foundation (ACBF),Zambia,2006,2019974
African Capacity Building Foundation (ACBF),Zambia,2007,3745082
African Capacity Building Foundation (ACBF),Zimbabwe,2005,1214784
African Capacity Building Foundation (ACBF),Zimbabwe,2006,1901152
African Capacity Building Foundation (ACBF),no value,2006,2376440
African Capacity Building Foundation (ACBF),no value,2007,4180762
African Capacity Building Foundation (ACBF),no value,2008,1998250
African Development Bank (AFDB),"Africa, North of Sahara, Regional Programs",2008,30765175
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",1990,87375885
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",1991,11291114
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",1994,64537520
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",1998,76674747
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",1999,49850044
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2002,6425557
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2003,320530276
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2004,9078732
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2005,60959912
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2006,125701094
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2007,195160416
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2008,240192948
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2009,1009696103
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2010,540580605
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2012,1705181
African Development Bank (AFDB),"Africa, Regional Programs, Regional Programs",2013,114044669
African Development Bank (AFDB),Algeria,1990,348574009
African Development Bank (AFDB),Algeria,1991,110833579
African Development Bank (AFDB),Algeria,1992,382753157
African Development Bank (AFDB),Algeria,1993,377484660
African Development Bank (AFDB),Algeria,1994,124127163
African Development Bank (AFDB),Algeria,1995,51187067
African Development Bank (AFDB),Algeria,1996,500293578
African Development Bank (AFDB),Algeria,1998,338375093
African Development Bank (AFDB),Algeria,1999,325565656
African Development Bank (AFDB),Algeria,2000,181376224
African Development Bank (AFDB),Algeria,2002,316745936
African Development Bank (AFDB),Algeria,2003,731619
African Development Bank (AFDB),Algeria,2009,844044
African Development Bank (AFDB),Algeria,2012,777938
African Development Bank (AFDB),Angola,1990,104479250
African Development Bank (AFDB),Angola,1991,136283751
African Development Bank (AFDB),Angola,1992,55437473
African Development Bank (AFDB),Angola,2005,590327
African Development Bank (AFDB),"Arab Countries, Regional Programs, Regional Programs",2009,844044
African Development Bank (AFDB),Benin,1997,3135045
African Development Bank (AFDB),Benin,2013,220371
African Development Bank (AFDB),Botswana,1990,26724007
African Development Bank (AFDB),Botswana,1991,41777123
African Development Bank (AFDB),Botswana,2004,66616164
African Development Bank (AFDB),Botswana,2007,1043174
African Development Bank (AFDB),Botswana,2008,63132186
African Development Bank (AFDB),Botswana,2009,1875398293
African Development Bank (AFDB),Botswana,2010,3396059
African Development Bank (AFDB),Botswana,2011,2670013
African Development Bank (AFDB),Botswana,2012,939160
African Development Bank (AFDB),Burkina Faso,2000,14266231
African Development Bank (AFDB),Burkina Faso,2005,572964
African Development Bank (AFDB),Burkina Faso,2009,1080376
African Development Bank (AFDB),Burundi,1990,9713596
African Development Bank (AFDB),Burundi,2000,751924
African Development Bank (AFDB),Burundi,2005,590327
African Development Bank (AFDB),Burundi,2008,3302756
African Development Bank (AFDB),Burundi,2009,1114138
African Development Bank (AFDB),Burundi,2013,485037
African Development Bank (AFDB),Cameroon,1990,21936924
African Development Bank (AFDB),Cameroon,1991,214531174
African Development Bank (AFDB),Cameroon,1992,91943070
African Development Bank (AFDB),Cameroon,1993,5531375
African Development Bank (AFDB),Cameroon,2000,134635013
African Development Bank (AFDB),Cameroon,2002,72957736
African Development Bank (AFDB),Cameroon,2006,202691225
African Development Bank (AFDB),Cameroon,2010,45576113
African Development Bank (AFDB),Cape Verde,2003,711296
African Development Bank (AFDB),Cape Verde,2009,62408615
African Development Bank (AFDB),Cape Verde,2010,22115407
African Development Bank (AFDB),Cape Verde,2012,155305
African Development Bank (AFDB),Cape Verde,2013,102979611
African Development Bank (AFDB),Central African Republic,2008,4954134
African Development Bank (AFDB),Central African Republic,2009,1063495
African Development Bank (AFDB),Central African Republic,2012,962430
African Development Bank (AFDB),Chad,2005,572964
African Development Bank (AFDB),Chad,2009,1063495
African Development Bank (AFDB),Chad,2010,1115614
African Development Bank (AFDB),Chad,2012,962430
African Development Bank (AFDB),Comoros,2008,2477067
African Development Bank (AFDB),Comoros,2009,1080376
African Development Bank (AFDB),Comoros,2012,1018444
African Development Bank (AFDB),"Congo, Democratic Republic of",1990,139708463
African Development Bank (AFDB),"Congo, Democratic Republic of",2001,776175
African Development Bank (AFDB),"Congo, Democratic Republic of",2002,851067
African Development Bank (AFDB),"Congo, Democratic Republic of",2004,1039669968
African Development Bank (AFDB),"Congo, Democratic Republic of",2007,114749109
African Development Bank (AFDB),"Congo, Democratic Republic of",2008,1155965
African Development Bank (AFDB),"Congo, Democratic Republic of",2009,2852869
African Development Bank (AFDB),"Congo, Democratic Republic of",2012,103363084
African Development Bank (AFDB),"Congo, Democratic Republic of",2013,130110332
African Development Bank (AFDB),"Congo, Republic of",1990,18590614
African Development Bank (AFDB),"Congo, Republic of",1994,107562533
African Development Bank (AFDB),"Congo, Republic of",1998,777328
African Development Bank (AFDB),"Congo, Republic of",2003,731619
African Development Bank (AFDB),"Congo, Republic of",2006,47441795
African Development Bank (AFDB),"Congo, Republic of",2010,42475362
African Development Bank (AFDB),"Congo, Republic of",2012,1018444
African Development Bank (AFDB),"Congo, Republic of",2013,111604
African Development Bank (AFDB),Cote d`Ivoire,1990,276651572
African Development Bank (AFDB),Cote d`Ivoire,1991,148139421
African Development Bank (AFDB),Cote d`Ivoire,1992,315339215
African Development Bank (AFDB),Cote d`Ivoire,1993,114934367
African Development Bank (AFDB),Cote d`Ivoire,1997,5354005
African Development Bank (AFDB),Cote d`Ivoire,1998,70564087
African Development Bank (AFDB),Cote d`Ivoire,1999,1447326
African Development Bank (AFDB),Cote d`Ivoire,2008,511927
African Development Bank (AFDB),Cote d`Ivoire,2009,190365689
African Development Bank (AFDB),Cote d`Ivoire,2010,1591391
African Development Bank (AFDB),Cote d`Ivoire,2013,107034577
African Development Bank (AFDB),Djibouti,2000,751924
African Development Bank (AFDB),Djibouti,2003,14124305
African Development Bank (AFDB),Djibouti,2004,659566
African Development Bank (AFDB),Djibouti,2005,590327
African Development Bank (AFDB),Djibouti,2006,589894
African Development Bank (AFDB),Djibouti,2008,85805608
African Development Bank (AFDB),Djibouti,2009,557069
African Development Bank (AFDB),Djibouti,2012,1018444
African Development Bank (AFDB),Egypt,1990,580956682
African Development Bank (AFDB),Egypt,1991,225822289
African Development Bank (AFDB),Egypt,1992,176766109
African Development Bank (AFDB),Egypt,1993,217644819
African Development Bank (AFDB),Egypt,1997,32083314
African Development Bank (AFDB),Egypt,1998,91703083
African Development Bank (AFDB),Egypt,1999,96247182
African Development Bank (AFDB),Egypt,2001,153049366
African Development Bank (AFDB),Egypt,2002,353873743
African Development Bank (AFDB),Egypt,2005,494207612
African Development Bank (AFDB),Egypt,2006,712431326
African Development Bank (AFDB),Egypt,2007,550708790
African Development Bank (AFDB),Egypt,2008,499426288
African Development Bank (AFDB),Egypt,2009,131502059
African Development Bank (AFDB),Egypt,2010,1068758209
African Development Bank (AFDB),Egypt,2012,1540849
African Development Bank (AFDB),Equatorial Guinea,2008,104928566
African Development Bank (AFDB),Eritrea,2000,751924
African Development Bank (AFDB),Eritrea,2003,731619
African Development Bank (AFDB),Eritrea,2009,3376176
African Development Bank (AFDB),Ethiopia,1990,65531914
African Development Bank (AFDB),Ethiopia,1992,116883760
African Development Bank (AFDB),Ethiopia,2000,751924
African Development Bank (AFDB),Ethiopia,2002,244745652
African Development Bank (AFDB),Ethiopia,2003,731619
African Development Bank (AFDB),Ethiopia,2004,163164983
African Development Bank (AFDB),Ethiopia,2006,607770
African Development Bank (AFDB),Ethiopia,2008,55238598
African Development Bank (AFDB),Ethiopia,2012,3338822
African Development Bank (AFDB),Ethiopia,2013,1423329
African Development Bank (AFDB),Gabon,1991,54197349
African Development Bank (AFDB),Gabon,1992,189318766
African Development Bank (AFDB),Gabon,1993,258728999
African Development Bank (AFDB),Gabon,1994,150415446
African Development Bank (AFDB),Gabon,1995,105355904
African Development Bank (AFDB),Gabon,1997,40328074
African Development Bank (AFDB),Gabon,1998,36944661
African Development Bank (AFDB),Gabon,2002,808514
African Development Bank (AFDB),Gabon,2004,147917370
African Development Bank (AFDB),Gabon,2005,26668876
African Development Bank (AFDB),Gabon,2007,413966102
African Development Bank (AFDB),Gabon,2009,172522598
African Development Bank (AFDB),Gabon,2010,820304
African Development Bank (AFDB),Gambia,2000,751924
African Development Bank (AFDB),Gambia,2001,2062990
African Development Bank (AFDB),Gambia,2003,731619
African Development Bank (AFDB),Gambia,2009,1688088
African Development Bank (AFDB),Gambia,2010,7448364
African Development Bank (AFDB),Gambia,2012,814755
African Development Bank (AFDB),Ghana,1990,62139127
African Development Bank (AFDB),Ghana,1993,2666460
African Development Bank (AFDB),Ghana,1996,15048830
African Development Bank (AFDB),Ghana,2002,174021967
African Development Bank (AFDB),Ghana,2004,107218269
African Development Bank (AFDB),Ghana,2008,65840445
African Development Bank (AFDB),Ghana,2009,107784422
African Development Bank (AFDB),Ghana,2010,5463228
African Development Bank (AFDB),Ghana,2013,19512349
African Development Bank (AFDB),Global,2008,78291837
African Development Bank (AFDB),Guinea,1990,199849099
African Development Bank (AFDB),Guinea,1991,67746687
African Development Bank (AFDB),Guinea,1992,23664846
African Development Bank (AFDB),Guinea,1993,5805833
African Development Bank (AFDB),Guinea,2001,108541883
African Development Bank (AFDB),Guinea,2008,221961734
African Development Bank (AFDB),Guinea-Bissau,2000,3271885
African Development Bank (AFDB),Guinea-Bissau,2006,625645
African Development Bank (AFDB),Guinea-Bissau,2009,573950
African Development Bank (AFDB),Kenya,1990,28373924
African Development Bank (AFDB),Kenya,1991,27098675
African Development Bank (AFDB),Kenya,1996,3982337
African Development Bank (AFDB),Kenya,1997,1506450
African Development Bank (AFDB),Kenya,2000,751924
African Development Bank (AFDB),Kenya,2003,10689762
African Development Bank (AFDB),Kenya,2004,19592989
African Development Bank (AFDB),Kenya,2005,11980159
African Development Bank (AFDB),Kenya,2006,48961219
African Development Bank (AFDB),Kenya,2008,1535781
African Development Bank (AFDB),Kenya,2009,2515251
African Development Bank (AFDB),Kenya,2012,75945
African Development Bank (AFDB),Kenya,2013,970065
African Development Bank (AFDB),Lesotho,1992,58153787
African Development Bank (AFDB),Lesotho,2013,970065
African Development Bank (AFDB),Liberia,1999,765015
African Development Bank (AFDB),Liberia,2003,711296
African Development Bank (AFDB),Liberia,2008,4954134
African Development Bank (AFDB),Liberia,2009,6583543
African Development Bank (AFDB),Liberia,2010,194001993
African Development Bank (AFDB),Liberia,2013,122866
African Development Bank (AFDB),Libya,2010,951553
African Development Bank (AFDB),Madagascar,2000,751924
African Development Bank (AFDB),Madagascar,2001,25920145
African Development Bank (AFDB),Madagascar,2004,659566
African Development Bank (AFDB),Madagascar,2005,16233984
African Development Bank (AFDB),Madagascar,2007,182398924
African Development Bank (AFDB),Madagascar,2009,1097257
African Development Bank (AFDB),Madagascar,2012,2036888
African Development Bank (AFDB),Madagascar,2013,970065
African Development Bank (AFDB),Malawi,1991,33873343
African Development Bank (AFDB),Malawi,2001,33620614
African Development Bank (AFDB),Malawi,2002,808514
African Development Bank (AFDB),Malawi,2005,607689
African Development Bank (AFDB),Malawi,2006,23971156
African Development Bank (AFDB),Malawi,2010,2674192
African Development Bank (AFDB),Mali,1992,24693752
African Development Bank (AFDB),Mali,1993,1034494
African Development Bank (AFDB),Mali,1997,3786482
African Development Bank (AFDB),Mali,2010,44640966
African Development Bank (AFDB),Mali,2012,1018444
African Development Bank (AFDB),Mauritania,1990,108778329
African Development Bank (AFDB),Mauritania,2000,83240002
African Development Bank (AFDB),Mauritania,2001,48224950
African Development Bank (AFDB),Mauritania,2002,16063893
African Development Bank (AFDB),Mauritania,2005,590327
African Development Bank (AFDB),Mauritania,2008,13656897
African Development Bank (AFDB),Mauritania,2009,189622930
African Development Bank (AFDB),Mauritania,2012,1018444
African Development Bank (AFDB),Mauritius,1991,57697595
African Development Bank (AFDB),Mauritius,1994,53974879
African Development Bank (AFDB),Mauritius,1997,18932412
African Development Bank (AFDB),Mauritius,2000,34893331
African Development Bank (AFDB),Mauritius,2001,187548282
African Development Bank (AFDB),Mauritius,2002,17127728
African Development Bank (AFDB),Mauritius,2005,13438613
African Development Bank (AFDB),Mauritius,2007,58522046
African Development Bank (AFDB),Mauritius,2009,739163112
African Development Bank (AFDB),Mauritius,2010,492183
African Development Bank (AFDB),Mauritius,2012,767920
African Development Bank (AFDB),Mauritius,2013,145509841
African Development Bank (AFDB),Morocco,1990,177865698
African Development Bank (AFDB),Morocco,1991,598203243
African Development Bank (AFDB),Morocco,1992,459921134
African Development Bank (AFDB),Morocco,1993,702505707
African Development Bank (AFDB),Morocco,1994,333443851
African Development Bank (AFDB),Morocco,1995,298177087
African Development Bank (AFDB),Morocco,1996,120890940
African Development Bank (AFDB),Morocco,1997,308374390
African Development Bank (AFDB),Morocco,1998,490601780
African Development Bank (AFDB),Morocco,1999,40525129
African Development Bank (AFDB),Morocco,2000,162313939
African Development Bank (AFDB),Morocco,2001,273356420
African Development Bank (AFDB),Morocco,2002,521853133
African Development Bank (AFDB),Morocco,2003,359732845
African Development Bank (AFDB),Morocco,2004,716482640
African Development Bank (AFDB),Morocco,2005,305077359
African Development Bank (AFDB),Morocco,2006,439614191
African Development Bank (AFDB),Morocco,2007,311630761
African Development Bank (AFDB),Morocco,2008,358365569
African Development Bank (AFDB),Morocco,2009,994266977
African Development Bank (AFDB),Morocco,2010,849228342
African Development Bank (AFDB),Morocco,2012,2463195
African Development Bank (AFDB),Morocco,2013,795903090
African Development Bank (AFDB),Mozambique,1999,7567448
African Development Bank (AFDB),Mozambique,2000,751924
African Development Bank (AFDB),Mozambique,2001,817026
African Development Bank (AFDB),Mozambique,2003,58732723
African Development Bank (AFDB),Mozambique,2005,607689
African Development Bank (AFDB),Mozambique,2009,557069
African Development Bank (AFDB),Mozambique,2010,8678821
African Development Bank (AFDB),Namibia,1998,60696343
African Development Bank (AFDB),Namibia,1999,14680021
African Development Bank (AFDB),Namibia,2001,54802009
African Development Bank (AFDB),Namibia,2002,31319273
African Development Bank (AFDB),Namibia,2004,114648085
African Development Bank (AFDB),Namibia,2009,1012853
African Development Bank (AFDB),Namibia,2010,967959
African Development Bank (AFDB),Namibia,2012,1550553
African Development Bank (AFDB),Namibia,2013,277258573
African Development Bank (AFDB),Niger,2002,20106463
African Development Bank (AFDB),Niger,2005,1163291
African Development Bank (AFDB),Niger,2009,35719943
African Development Bank (AFDB),Niger,2010,1115614
African Development Bank (AFDB),Niger,2013,17381518
African Development Bank (AFDB),Nigeria,1990,569174881
African Development Bank (AFDB),Nigeria,1991,700297500
African Development Bank (AFDB),Nigeria,1992,252575928
African Development Bank (AFDB),Nigeria,1993,332051383
African Development Bank (AFDB),Nigeria,1994,464584090
African Development Bank (AFDB),Nigeria,1996,4182454
African Development Bank (AFDB),Nigeria,1999,75488391
African Development Bank (AFDB),Nigeria,2000,47554103
African Development Bank (AFDB),Nigeria,2001,49021551
African Development Bank (AFDB),Nigeria,2002,241107339
African Development Bank (AFDB),Nigeria,2005,128673855
African Development Bank (AFDB),Nigeria,2006,160665732
African Development Bank (AFDB),Nigeria,2007,57044216
African Development Bank (AFDB),Nigeria,2008,87803775
African Development Bank (AFDB),Nigeria,2009,330645806
African Development Bank (AFDB),Nigeria,2010,111282496
African Development Bank (AFDB),Nigeria,2013,533536079
African Development Bank (AFDB),Rwanda,2000,751924
African Development Bank (AFDB),Rwanda,2001,245108
African Development Bank (AFDB),Rwanda,2005,190988
African Development Bank (AFDB),Rwanda,2008,1023854
African Development Bank (AFDB),Rwanda,2010,52499482
African Development Bank (AFDB),Rwanda,2013,7909816
African Development Bank (AFDB),Sao Tome & Principe,2009,1688088
African Development Bank (AFDB),Senegal,1991,252017674
African Development Bank (AFDB),Senegal,1992,6873094
African Development Bank (AFDB),Senegal,1995,1093316
African Development Bank (AFDB),Senegal,2000,82000344
African Development Bank (AFDB),Senegal,2004,62949753
African Development Bank (AFDB),Senegal,2005,11615546
African Development Bank (AFDB),Senegal,2009,159439916
African Development Bank (AFDB),Senegal,2010,116204323
African Development Bank (AFDB),Senegal,2012,1018444
African Development Bank (AFDB),Senegal,2013,187121
African Development Bank (AFDB),Seychelles,1991,38163967
African Development Bank (AFDB),Seychelles,1994,10541128
African Development Bank (AFDB),Seychelles,1995,2007726
African Development Bank (AFDB),Seychelles,1997,17018814
African Development Bank (AFDB),Seychelles,1999,14659345
African Development Bank (AFDB),Seychelles,2005,555602
African Development Bank (AFDB),Seychelles,2009,23059283
African Development Bank (AFDB),Seychelles,2010,492183
African Development Bank (AFDB),Seychelles,2012,939160
African Development Bank (AFDB),Seychelles,2013,21341517
African Development Bank (AFDB),Sierra Leone,2000,792568
African Development Bank (AFDB),Sierra Leone,2012,763833
African Development Bank (AFDB),Somalia,2000,751924
African Development Bank (AFDB),Somalia,2005,555602
African Development Bank (AFDB),Somalia,2006,625645
African Development Bank (AFDB),South Africa,1997,271262790
African Development Bank (AFDB),South Africa,1999,170784473
African Development Bank (AFDB),South Africa,2000,153961488
African Development Bank (AFDB),South Africa,2002,32042680
African Development Bank (AFDB),South Africa,2003,216030741
African Development Bank (AFDB),South Africa,2004,227104085
African Development Bank (AFDB),South Africa,2007,739071191
African Development Bank (AFDB),South Africa,2008,336616918
African Development Bank (AFDB),South Africa,2009,2925287772
African Development Bank (AFDB),South Africa,2010,662248156
African Development Bank (AFDB),South Africa,2012,11015
African Development Bank (AFDB),South Africa,2013,265916
African Development Bank (AFDB),Sudan,1990,43246415
African Development Bank (AFDB),Sudan,1992,57618755
African Development Bank (AFDB),Sudan,1995,3081163
African Development Bank (AFDB),Sudan,1999,723663
African Development Bank (AFDB),Sudan,2000,751924
African Development Bank (AFDB),Sudan,2003,711296
African Development Bank (AFDB),Sudan,2006,589894
African Development Bank (AFDB),Sudan,2010,1115614
African Development Bank (AFDB),Sudan,2012,363481
African Development Bank (AFDB),Sudan,2013,970065
African Development Bank (AFDB),Swaziland,1991,13549337
African Development Bank (AFDB),Swaziland,1992,84781883
African Development Bank (AFDB),Swaziland,1994,53200429
African Development Bank (AFDB),Swaziland,1999,22971132
African Development Bank (AFDB),Swaziland,2001,60521189
African Development Bank (AFDB),Swaziland,2002,20574550
African Development Bank (AFDB),Swaziland,2003,101532416
African Development Bank (AFDB),Swaziland,2005,607689
African Development Bank (AFDB),Swaziland,2006,9831570
African Development Bank (AFDB),Swaziland,2010,492183
African Development Bank (AFDB),Swaziland,2012,1516825
African Development Bank (AFDB),Tanzania,1992,20578127
African Development Bank (AFDB),Tanzania,1994,6604340
African Development Bank (AFDB),Tanzania,1997,1140016
African Development Bank (AFDB),Tanzania,2000,24976065
African Development Bank (AFDB),Tanzania,2006,607770
African Development Bank (AFDB),Tanzania,2007,851925
African Development Bank (AFDB),Tanzania,2010,9105379
African Development Bank (AFDB),Tanzania,2012,783074
African Development Bank (AFDB),Tanzania,2013,592670
African Development Bank (AFDB),Togo,2003,29589911
African Development Bank (AFDB),Togo,2009,4777289
African Development Bank (AFDB),Togo,2013,1091396
African Development Bank (AFDB),Tunisia,1990,209144406
African Development Bank (AFDB),Tunisia,1991,488792344
African Development Bank (AFDB),Tunisia,1992,478029885
African Development Bank (AFDB),Tunisia,1993,304436734
African Development Bank (AFDB),Tunisia,1994,717442092
African Development Bank (AFDB),Tunisia,1995,415161896
African Development Bank (AFDB),Tunisia,1996,54732118
African Development Bank (AFDB),Tunisia,1997,342941311
African Development Bank (AFDB),Tunisia,1998,226008046
African Development Bank (AFDB),Tunisia,1999,543739719
African Development Bank (AFDB),Tunisia,2000,234295405
African Development Bank (AFDB),Tunisia,2001,740368392
African Development Bank (AFDB),Tunisia,2002,183468813
African Development Bank (AFDB),Tunisia,2003,266390494
African Development Bank (AFDB),Tunisia,2004,272012768
African Development Bank (AFDB),Tunisia,2005,315460163
African Development Bank (AFDB),Tunisia,2006,26330732
African Development Bank (AFDB),Tunisia,2007,152651087
African Development Bank (AFDB),Tunisia,2008,466910652
African Development Bank (AFDB),Tunisia,2009,467043320
African Development Bank (AFDB),Tunisia,2010,486604575
African Development Bank (AFDB),Tunisia,2012,594801
African Development Bank (AFDB),Tunisia,2013,31768473
African Development Bank (AFDB),Uganda,1990,46476535
African Development Bank (AFDB),Uganda,1991,33873343
African Development Bank (AFDB),Uganda,1996,8064732
African Development Bank (AFDB),Uganda,2000,12538838
African Development Bank (AFDB),Uganda,2001,88729006
African Development Bank (AFDB),Uganda,2002,16957514
African Development Bank (AFDB),Uganda,2007,125476412
African Development Bank (AFDB),Uganda,2008,9099093
African Development Bank (AFDB),Uganda,2013,293492
African Development Bank (AFDB),Zambia,1990,114680849
African Development Bank (AFDB),Zambia,1991,22582229
African Development Bank (AFDB),Zambia,1995,14491406
African Development Bank (AFDB),Zambia,1998,3066126
African Development Bank (AFDB),Zambia,2000,7702139
African Development Bank (AFDB),Zambia,2001,187752538
African Development Bank (AFDB),Zambia,2005,116120731
African Development Bank (AFDB),Zambia,2006,51642557
African Development Bank (AFDB),Zambia,2008,14713779
African Development Bank (AFDB),Zambia,2009,557069
African Development Bank (AFDB),Zambia,2010,1082802
African Development Bank (AFDB),Zambia,2012,517158
African Development Bank (AFDB),Zambia,2013,97269
African Development Bank (AFDB),Zimbabwe,1990,284994110
