Variable,Q1,Q3,IQR,Lower,Upper,N_Outliers,Outlier_pct
arms_tiv,0.0,0.0,0.0,0.0,0.0,12126,10.485991006572121
bilateral_oda,0.075692,7.32,7.244308,-10.79077,18.186462,16804,16.182744440913336
bilateral_debt,9972681.35,297659736.4,287687055.04999995,-421557901.2249999,729190318.9749999,2620,13.885944456222175
gdp_per_capita,792.16570022814,5097.53106864695,4305.36536841881,-5665.882352400075,11555.579121275165,8791,7.787295484945389
journalist_killings,0.0,0.0,0.0,0.0,0.0,19324,16.710480802490487
