Variable,Count,Mean,Median,Std,Min,Max,Skewness,Zeros %
arms_tiv,115640,7.254507177447251,0.0,68.66932020748075,0.0,3895.2,21.94825451849505,89.5
bilateral_oda,103839,17.275638996051583,0.807783,123.62481455110192,-1206.34,11790.044351,42.144196180873685,0.0
bilateral_debt,18868,505469548.9677072,63788100.55,1651856441.9770944,0.0,30895965631.8,8.296061869777715,4.2
gdp_per_capita,112889,4633.153128983314,2070.4127339595,8310.165014145887,30.2539012636825,137781.681659123,5.179531133130829,0.0
population,114907,52094412.77299903,11122168.0,177818982.41100508,9038.0,1450935791.0,6.452017374505802,0.0
v2x_polyarchy,109836,0.4332627781419572,0.419,0.22411086476171413,0.014,0.923,0.2740967617626879,0.0
journalist_killings,115640,0.5667675544794188,0.0,2.5695902268299045,0.0,82.0,11.879453094733709,83.3
