recipient_iso3,year,arms_tiv_in_strength_lag1,arms_tiv_out_strength_lag1,arms_tiv_dependency_balance_lag1,arms_tiv_in_concentration_lag1,arms_tiv_pagerank_lag1,bilateral_oda_in_strength_lag1,bilateral_oda_out_strength_lag1,bilateral_oda_dependency_balance_lag1,bilateral_oda_in_concentration_lag1,bilateral_oda_pagerank_lag1,colonial_tie_in_strength_lag1,colonial_tie_out_strength_lag1,colonial_tie_dependency_balance_lag1,colonial_tie_in_concentration_lag1,colonial_tie_pagerank_lag1,econ_neocol_score_in_strength_lag1,econ_neocol_score_out_strength_lag1,econ_neocol_score_dependency_balance_lag1,econ_neocol_score_in_concentration_lag1,econ_neocol_score_pagerank_lag1
ABW,1992,,,,,,,,,,,,,,,,,,,,
ABW,1993,0.0,0.0,0.0,0.0,0.003988533920434627,3.4291367503513968,0.0,1.4882047005879973,1.0,0.004429969269801547,0.0,0.0,0.0,0.0,0.004721429600309438,0.0,0.0,0.0,0.0,0.0048780487804878075
ABW,1994,0.0,0.0,0.0,0.0,0.0037646983771436543,3.176803048446293,0.0,1.4295461329660493,1.0,0.004371464013009075,0.0,0.0,0.0,0.0,0.004633915103801161,0.0,0.0,0.0,0.0,0.004784688995215326
ABW,1995,0.0,0.0,0.0,0.0,0.003786306227910075,2.829087196145044,0.0,1.3426264447992105,1.0,0.004360674484604652,0.0,0.0,0.0,0.0,0.004655488164312775,0.0,0.0,0.0,0.0,0.0048076923076922976
ABW,1996,0.0,0.0,0.0,0.0,0.0037550006118269737,2.9433857931817817,0.0,1.3720396926610285,1.0,0.004389342322243539,0.0,0.0,0.0,0.0,0.004655488164312784,0.0,0.0,0.0,0.0,0.004125879622069034
ABW,1997,0.0,2.9338568698359038,-1.369620336446811,0.0,0.0037150446214156856,3.0601145324832593,0.0,1.4012111831869936,1.0,0.004414191396513261,0.0,0.0,0.0,0.0,0.00467726302834601,0.0,0.0,0.0,0.0,0.004115836495190803
ABW,1998,0.0,0.0,0.0,0.0,0.003827178970973359,3.227108681706855,0.0,1.441518232564001,0.9877236112147737,0.004462567064092738,0.0,0.0,0.0,0.0,0.004766438231293115,0.0,0.0,0.0,0.0,0.004168116127879836
ABW,1999,0.0,0.0,0.0,0.0,0.003918880230911954,2.467828308253249,0.0,1.2435285502686704,0.9919684761731122,0.004360914943757088,0.0,0.0,0.0,0.0,0.004721429600309432,0.0,0.0,0.0,0.0,0.004156835097942212
AFG,1992,,,,,,,,,,,,,,,,,,,,
AFG,1993,0.0,0.0,0.0,0.0,0.003988533920434627,25.434383079096346,0.0,3.2746655521386185,0.08502103464249991,0.005294903841793081,0.0,0.0,0.0,0.0,0.004721429600309438,0.0,0.0,0.0,0.0,0.0048780487804878075
AFG,1994,0.0,0.0,0.0,0.0,0.0037646983771436543,23.531219921721426,0.0,3.19994658886102,0.09197928293499417,0.004973967759868972,0.0,0.0,0.0,0.0,0.004633915103801161,0.0,0.0,0.0,0.0,0.004784688995215326
AFG,1995,0.0,0.0,0.0,0.0,0.003786306227910075,26.23561856244342,0.0,3.3045256226189723,0.08754083091388697,0.004991409721176312,0.0,0.0,0.0,0.0,0.004655488164312775,0.0,0.0,0.0,0.0,0.0048076923076922976
AFG,1996,0.0,0.0,0.0,0.0,0.0037550006118269737,26.015622844593423,0.0,3.2964153225399135,0.08171999087835444,0.005048376694759497,0.0,0.0,0.0,0.0,0.004655488164312784,0.0,0.0,0.0,0.0,0.004125879622069034
AFG,1997,0.0,0.0,0.0,0.0,0.0037150446214156856,24.527648190011895,0.0,3.2397621075433065,0.07811865932208414,0.005084735601206578,0.0,0.0,0.0,0.0,0.00467726302834601,0.0,0.0,0.0,0.0,0.004115836495190803
AFG,1998,0.0,0.0,0.0,0.0,0.003827178970973359,26.97357380724247,0.0,3.331260271924062,0.08055721367684938,0.00526690269889216,0.0,0.0,0.0,0.0,0.004766438231293115,0.0,0.0,0.0,0.0,0.004168116127879836
